w1,w2,w3,w4,w5,w6
0.01,0,0,0,0.01,1.4
0.0100004016258741,1.5996772761695e-05,0.00223947092250623,0.000297524440419528,0.0100004089787422,1.40000001975698
0.0100012675679833,3.19950779985265e-05,0.0044789418434951,0.000595040935924927,0.0100014803872942,1.40000001554849
0.0100026075994012,4.79959781156446e-05,0.0067184127623842,0.000892547038506079,0.010003225440263,1.40000001416847
0.0100390074514346,0.00020254129644469,0.0282857603029498,0.00375647620992079,0.0100534319416514,1.40000000156149
0.0101190503633473,0.000358377908295359,0.0498531076605676,0.00661714599342201,0.0101656832024193,1.39999998997238
0.0102429882406529,0.000516418978427038,0.0714204548248533,0.00947257342126685,0.0103403393285079,1.39999997689039
0.0104108347917713,0.000677624533784087,0.0929878017750287,0.0123206825887382,0.0105774214594892,1.39999996220503
0.0110932208322908,0.00114239928675142,0.15199790477246,0.020059676046758,0.0115433573006165,1.39999990459135
0.0120996517556395,0.00165741723136844,0.211008005041093,0.0276864564466349,0.0129700474313076,1.39999983075065
0.013424556342817,0.00224207440031782,0.270018101517253,0.0351589653361546,0.0148496464681743,1.39999972482823
0.0150604867407525,0.00291531928749666,0.32902819278129,0.0424359270844962,0.0171716746712116,1.39999958138374
0.0169983043857757,0.00369554719385273,0.388038277114888,0.0494770164278557,0.0199232790046377,1.39999939442071
0.0227751557521684,0.0060929410451756,0.528942812089754,0.0651088742882329,0.0281306311620046,1.39999873164083
0.0300234047139373,0.0094228756399647,0.669847263724527,0.0786709979686888,0.0384354520760712,1.39999773044962
0.0385141768986261,0.0138815879755298,0.810751593799649,0.0897047637579816,0.0505155380238603,1.39999630571687
0.0479729789875117,0.0196291032148433,0.951655757708875,0.0978123348079083,0.0639845027293894,1.39999441306919
0.0580876958111797,0.0267835459718885,1.09255970794465,0.102666202557899,0.0784029823700983,1.39999204965615
0.0737953703989194,0.0403496632313602,1.30462500857069,0.103309128943552,0.100834805477235,1.39998767215715
0.0889722998024279,0.0572871363126149,1.51668955920154,0.09554571764305,0.122578330984987,1.39998215777417
0.102333144859453,0.0773549461483415,1.72875325063592,0.0793543874001937,0.141822910062259,1.39997637716454
0.112627596242647,0.100038976547101,1.94081605164981,0.0551890051655448,0.156806520972784,1.39997058710748
0.118711351272288,0.124568234054157,2.15287799735866,0.0239615754094462,0.165914113248997,1.39996516291202
0.119611023718454,0.14994465384323,2.36493916766649,-0.0129953649170963,0.167769621385452,1.39996036503773
0.113044280334481,0.179281444777894,2.61445689353901,-0.0615074159059079,0.159266827393906,1.39995683900953
0.0975721198879774,0.206003093046713,2.86397391026575,-0.112342455919853,0.138266467376722,1.39995237781149
0.0730924629512369,0.227851025277935,3.11349043921268,-0.161902900103389,0.104603030546888,1.39995102428571
0.0401610170240778,0.242620460704727,3.36300681294942,-0.206493793812392,0.0590396287008285,1.39995120824994
-1.49791095037375e-05,0.248325041505256,3.61252334011695,-0.24256844317733,0.00324786145929487,1.39995262806939
-0.0456280908136127,0.243353367035758,3.8620401572357,-0.266975163389976,-0.0602565665344232,1.39995410176929
-0.107107998550048,0.220342164023552,4.17576832429325,-0.277313148040901,-0.146040381508649,1.3999571896737
-0.168099347951148,0.178011939297183,4.48949648515659,-0.262081259377271,-0.23132329454054,1.39995376066132
-0.222724316362146,0.117368994596,4.80322408001488,-0.220482325553849,-0.307884501385198,1.39995148492402
-0.265222104578717,0.0412766286659688,5.11695086352564,-0.154366875705857,-0.367658370180294,1.39994788187283
-0.290539257937979,-0.0456782487055175,5.43067669857991,-0.0681406465969904,-0.403562457647155,1.39994308903302
-0.294868617448685,-0.13750205220714,5.74440147620962,0.0315727934884357,-0.410248553496684,1.39993812851456
-0.276086205565095,-0.227257974570787,6.0581252554024,0.136492234275341,-0.384714434589352,1.39993429541919
-0.234043312262614,-0.307639714345396,6.37184837597264,0.237411690287593,-0.3267152752928,1.39993264784951
-0.168699470651173,-0.3730641704169,6.69407544830269,0.327163866506398,-0.236179186172001,1.39994111777322
-0.085176686688971,-0.414575993176978,7.01630301568538,0.393737734294607,-0.120203526733272,1.39993651277889
0.010299650519234,-0.427259436047626,7.33853101192005,0.429781555875769,0.0125379408771324,1.39994185496489
0.110097431225063,-0.408440650345856,7.66075990011238,0.430578526180114,0.151423552912438,1.39994746715685
0.20585063280751,-0.358035776327817,7.98299015610801,0.394559991090707,0.284778713258825,1.39995355255317
0.289221759253145,-0.278665570385479,8.30522157518324,0.323556971963846,0.400973838791907,1.39995635589659
0.355338751950309,-0.169617919461099,8.64424278090681,0.216770216580113,0.493211980091529,1.39996881882098
0.392506068601105,-0.0429106220140042,8.98326393119689,0.0863824369815572,0.545190680446129,1.39995602143036
0.398305861445193,0.065037605159892,9.25696529539991,-0.027869726020378,0.553462574262263,1.39996809414781
0.381584095745353,0.171533692850552,9.53066691717808,-0.142572561356147,0.530394049968012,1.39996327479743
0.342983038477337,0.270511045218251,9.80436891147828,-0.250518125446322,0.476813848887556,1.39996743301086
0.28449881816725,0.356247849445869,10.0780710455792,-0.34487549055289,0.395522618037509,1.3999661191319
0.209386780155874,0.423735481593099,10.3517738089664,-0.419599095704062,0.291058103147041,1.39997382248682
0.121975649064927,0.469007526153196,10.6254776269948,-0.469885394328007,0.169463253094745,1.39997836900652
-0.00111472756224373,0.49048237298024,10.9798577009466,-0.493651856787802,-0.0017740412467092,1.3999922963448
-0.124089178793603,0.468255404031918,11.3342396071089,-0.468579155454908,-0.172824118347266,1.39999217380687
-0.234760155376583,0.404492440247921,11.6886226128184,-0.397290710134557,-0.326703760437123,1.39999884773084
