hi,it
-0.166295403984522,1
-0.166886624831164,1
-0.168454145086328,1
-0.169453044540181,1
-0.171340905475862,1
-0.173673174605053,1
-0.176626012824799,1
-0.179125068674185,1
-0.181923664351629,1
-0.184939293854446,1
-0.188064749322062,1
-0.191140963935244,1
-0.195583814329057,1
-0.198935634827997,1
-0.202874495442611,1
-0.206095658474889,1
-0.208671442298016,1
-0.208559375146302,1
-0.20542307306492,1
-0.201127894365389,1
-0.196885722911255,1
-0.192956721235372,1
-0.188194598360961,1
-0.184076531460557,1
-0.180473671722481,1
-0.177243034471683,1
-0.173366932623266,1
-0.169412062194917,1
-0.166384337137485,1
-0.163222909128889,1
-0.160188703519972,1
-0.156816999753527,1
-0.154376212870742,1
-0.151913416565888,1
-0.14967013641421,1
-0.147074010252746,1
-0.144970835917793,1
-0.14248179928639,1
-0.140451184521414,1
-0.138452591278165,1
-0.136665694003711,1
-0.135070288287115,1
-0.134641524899435,1
-0.134484944158064,1
-0.134697654093131,1
-0.136343417278046,1
-0.138306128253345,1
-0.140948682016202,1
-0.144474663986728,1
-0.148562233450418,1
-0.152581652239019,1
-0.155845920815554,1
-0.160259044003194,1
-0.164406932408251,1
-0.16904012022976,1
-0.173723181951992,1
-0.178403785479109,1
-0.183192576628376,1
-0.187954283209246,1
-0.193934718742717,1
-0.19889234132026,1
-0.204050090584312,1
-0.207984947361832,1
-0.210908670542343,1
-0.209287017379967,1
-0.205442367965182,1
-0.200972309807884,1
-0.196708970199435,1
-0.193361953584728,1
-0.189278386001732,1
-0.186173700495985,1
-0.182596791410379,1
-0.179521747970072,1
-0.175928102794079,1
-0.172109385932048,1
-0.169731374848113,1
-0.167197588761593,1
-0.165681694145621,1
-0.163960353666088,1
-0.162081535222174,1
-0.16150603488072,1
-0.160709428645498,1
-0.159128782672578,1
-0.158697327522956,1
-0.158383537209512,1
-0.158431487345604,1
-0.158669769576306,1
-0.159048774512346,1
-0.15856891245147,1
-0.1592589723336,1
-0.159848035992206,1
-0.159834759535703,1
-0.160953771754461,1
-0.161538011431406,1
-0.162558525667159,1
-0.163509606859783,1
-0.16377254347571,1
-0.164761730079415,1
-0.166010908614186,1
-0.165727906012593,1
-0.167179174051503,1
-0.166587362923225,1
-0.167816629956944,1
-0.167005712044793,1
-0.168001286422779,1
-0.167064907345172,1
-0.167770730829879,1
-0.166799806365855,1
-0.167140781503898,1
-0.166224336002976,1
-0.166108276937935,1
-0.165747737138253,1
-0.165480100602287,1
-0.165402103329797,1
-0.165302260525397,1
-0.164967621863102,1
