freqs,specs
-2.99803242901665,2.91191044162894e-05
-2.99444197101782,2.9555206638138e-05
-2.990851513019,2.96227656769757e-05
-2.98726105502018,2.96770550635611e-05
-2.98367059702136,2.98008192318762e-05
-2.98008013902253,2.97751320302761e-05
-2.97648968102371,2.98117825456594e-05
-2.97289922302489,2.9906584267242e-05
-2.96930876502607,2.97785298494807e-05
-2.96571830702724,2.99083685278084e-05
-2.96212784902842,2.99647797144312e-05
-2.9585373910296,2.9987494298686e-05
-2.95494693303078,3.00042965231035e-05
-2.95135647503196,3.01018753515093e-05
-2.94776601703313,2.99996753011571e-05
-2.94417555903431,3.01073206116298e-05
-2.94058510103549,3.01434386330163e-05
-2.93699464303667,3.01778801347823e-05
-2.93340418503784,3.01644220436293e-05
-2.92981372703902,3.02105395836982e-05
-2.9262232690402,3.01982943695017e-05
-2.92263281104138,3.02809139679588e-05
-2.91904235304255,3.03122323974247e-05
-2.91545189504373,3.02795596787648e-05
-2.91186143704491,3.03183394540215e-05
-2.90827097904609,3.03834904389081e-05
-2.90468052104727,3.03819871021211e-05
-2.90109006304844,3.05122013793523e-05
-2.89749960504962,3.04987850611803e-05
-2.8939091470508,3.0477871244589e-05
-2.89031868905198,3.05846869872152e-05
-2.88672823105315,3.062044710585e-05
-2.88313777305433,3.06152055228524e-05
-2.87954731505551,3.06182200798607e-05
-2.87595685705669,3.05874061422295e-05
-2.87236639905786,3.06702483845826e-05
-2.86877594105904,3.06953989511656e-05
-2.86518548306022,3.07608740010921e-05
-2.8615950250614,3.07477041248357e-05
-2.85800456706257,3.08332996845894e-05
-2.85441410906375,3.07725783437416e-05
-2.85082365106493,3.08513731191072e-05
-2.84723319306611,3.08891254996436e-05
-2.84364273506729,3.09529763305299e-05
-2.84005227706846,3.09234771059437e-05
-2.83646181906964,3.0969278947358e-05
-2.83287136107082,3.10192326184828e-05
-2.829280903072,3.10755572621059e-05
-2.82569044507317,3.10922498190239e-05
-2.82209998707435,3.11219639253048e-05
-2.81850952907553,3.10936455365403e-05
-2.81491907107671,3.11354258755779e-05
-2.81132861307788,3.11701206263216e-05
-2.80773815507906,3.1201630027044e-05
-2.80414769708024,3.12177127826556e-05
-2.80055723908142,3.12901180313539e-05
-2.7969667810826,3.12638473311911e-05
-2.79337632308377,3.13441215101643e-05
-2.78978586508495,3.13738933550021e-05
-2.78619540708613,3.13858790745396e-05
-2.78260494908731,3.14583589580923e-05
-2.77901449108848,3.14691144880219e-05
-2.77542403308966,3.1482270823937e-05
-2.77183357509084,3.15198844916228e-05
-2.76824311709202,3.1553286861128e-05
-2.76465265909319,3.15750147991174e-05
-2.76106220109437,3.16067894113198e-05
-2.75747174309555,3.16379107749327e-05
-2.75388128509673,3.16755111046158e-05
-2.7502908270979,3.17031238609828e-05
-2.74670036909908,3.17357863700774e-05
-2.74310991110026,3.17563911909052e-05
-2.73951945310144,3.17951351253725e-05
-2.73592899510262,3.18688906684398e-05
-2.73233853710379,3.18664998003534e-05
-2.72874807910497,3.1888339645961e-05
-2.72515762110615,3.19102512336263e-05
-2.72156716310733,3.19578032203344e-05
-2.7179767051085,3.1994566300652e-05
-2.71438624710968,3.20017054994881e-05
-2.71079578911086,3.20825849847323e-05
-2.70720533111204,3.20643371018636e-05
-2.70361487311321,3.21146009344867e-05
-2.70002441511439,3.21240341732678e-05
-2.69643395711557,3.21528212669562e-05
-2.69284349911675,3.22294142733103e-05
-2.68925304111792,3.22201449265436e-05
-2.6856625831191,3.22618727877531e-05
-2.68207212512028,3.23160380377031e-05
-2.67848166712146,3.23450427714015e-05
-2.67489120912264,3.23999177645919e-05
-2.67130075112381,3.23500870376369e-05
-2.66771029312499,3.24111816375063e-05
-2.66411983512617,3.24633705915239e-05
-2.66052937712735,3.24804122481079e-05
-2.65693891912852,3.25142924544886e-05
-2.6533484611297,3.256265283552e-05
-2.64975800313088,3.26177563594387e-05
-2.64616754513206,3.25850149895711e-05
-2.64257708713324,3.26752680316528e-05
-2.63898662913441,3.26863294249592e-05
-2.63539617113559,3.27314857290326e-05
-2.63180571313677,3.27431775807689e-05
-2.62821525513795,3.27760613392053e-05
-2.62462479713912,3.2851335548148e-05
-2.6210343391403,3.28498132431773e-05
-2.61744388114148,3.29238788665712e-05
-2.61385342314266,3.29369027209781e-05
-2.61026296514383,3.2946840647427e-05
-2.60667250714501,3.29680116035556e-05
-2.60308204914619,3.30402874869166e-05
-2.59949159114737,3.30639756210771e-05
-2.59590113314854,3.31176220134758e-05
-2.59231067514972,3.31487857332683e-05
-2.5887202171509,3.31507119668836e-05
-2.58512975915208,3.3180756153231e-05
-2.58153930115326,3.32487363447083e-05
-2.57794884315443,3.3208226573356e-05
-2.57435838515561,3.32409325089189e-05
-2.57076792715679,3.33268280616445e-05
-2.56717746915797,3.33560906457636e-05
-2.56358701115914,3.3395803658105e-05
-2.55999655316032,3.34738936588169e-05
-2.5564060951615,3.34744578155054e-05
-2.55281563716268,3.34555491873234e-05
-2.54922517916385,3.35132989620804e-05
-2.54563472116503,3.36186119126759e-05
-2.54204426316621,3.3592661665424e-05
-2.53845380516739,3.36989032125274e-05
-2.53486334716857,3.36687669074866e-05
-2.53127288916974,3.37231366805765e-05
-2.52768243117092,3.37670978753411e-05
-2.5240919731721,3.38132801830594e-05
-2.52050151517328,3.38184681582291e-05
-2.51691105717445,3.38573109259862e-05
-2.51332059917563,3.38675692768905e-05
-2.50973014117681,3.39172679816799e-05
-2.50613968317799,3.39804422468193e-05
-2.50254922517916,3.3963238093169e-05
-2.49895876718034,3.39915388129603e-05
-2.49536830918152,3.40229983337363e-05
-2.4917778511827,3.40514986072645e-05
-2.48818739318387,3.41260293122227e-05
-2.48459693518505,3.42022509200757e-05
-2.48100647718623,3.41858620146952e-05
-2.47741601918741,3.42339068171819e-05
-2.47382556118859,3.43240702447713e-05
-2.47023510318976,3.42761149357738e-05
-2.46664464519094,3.43355403040528e-05
-2.46305418719212,3.44125039578709e-05
-2.4594637291933,3.44577550522269e-05
-2.45587327119447,3.45137906398974e-05
-2.45228281319565,3.45561652516629e-05
-2.44869235519683,3.45274770108649e-05
-2.44510189719801,3.45623772208152e-05
-2.44151143919918,3.46260298700072e-05
