hi,it
-0.185038551868635,1
-0.187096965687363,1
-0.189272756076963,1
-0.192043621138458,1
-0.194253825461331,1
-0.198424639460628,1
-0.20184305202542,1
-0.205993529455368,1
-0.208612085197607,1
-0.21042511434051,1
-0.208039342362967,1
-0.203809839610639,1
-0.199206391917199,1
-0.195306588634028,1
-0.191631065146608,1
-0.188965022090359,1
-0.186806483660871,1
-0.185764558781266,1
-0.185003768845942,1
-0.183272672951061,1
-0.181543627309275,1
-0.181373927990089,1
-0.180822120050424,1
-0.179969928922578,1
-0.178650408234377,1
-0.177118305829171,1
-0.176463792303637,1
-0.175946461645178,1
-0.174920349525314,1
-0.174913499527062,1
-0.174480279313451,1
-0.173352724689818,1
-0.173349846278474,1
-0.174448128453636,1
-0.175450279658063,1
-0.176203046255061,1
-0.176668977449021,1
-0.177083951094701,1
-0.177438515178281,1
-0.178283595507822,1
-0.179423369039592,1
-0.180268828458705,1
-0.181378557814456,1
-0.1824440514334,1
-0.184906313775207,1
-0.186186446978383,1
-0.187895993259087,1
-0.1894557955667,1
-0.192549412756807,1
-0.194358165958889,1
-0.197846254701664,1
-0.200894299284456,1
-0.203791644114616,1
-0.20761975146418,1
-0.209860624020991,1
-0.209369739579888,1
-0.20665643593694,1
-0.203785219740337,1
-0.200185445677441,1
-0.195841447168907,1
-0.193433461259445,1
-0.190321286668865,1
-0.188877781283828,1
-0.187723297005802,1
-0.186495038593,1
-0.1856443885825,1
-0.184820102701599,1
-0.184656615489171,1
-0.185552695966882,1
-0.185181616213104,1
-0.184101071690334,1
-0.182809972392173,1
-0.18240513704685,1
-0.181652489168444,1
-0.180216561080665,1
-0.178960570136051,1
-0.178412446576162,1
-0.176339060297177,1
-0.175367145637706,1
-0.174007819640092,1
-0.173228321409594,1
-0.171621112138374,1
-0.171093664713409,1
-0.17008647825604,1
-0.169847000585044,1
-0.17052041122299,1
-0.170874998589072,1
-0.171419973452227,1
-0.171958291883945,1
-0.173489804201087,1
-0.174898656338186,1
-0.177052925487562,1
-0.179249219349724,1
-0.182122949599254,1
-0.184614230366934,1
-0.186203637671284,1
-0.187295847293572,1
-0.190073714271601,1
-0.192373635367373,1
-0.193625494390385,1
-0.195699497652186,1
-0.196623348186268,1
-0.197913507375377,1
-0.19910031406287,1
-0.199644004109891,1
-0.200168566986606,1
-0.200588719399987,1
-0.200343567710866,1
-0.201848743612977,1
-0.203211418640769,1
-0.203615606722843,1
