xt,yt,i
-0.099254938069357,0.0972115339756076,6
-0.0714807967611025,0.0929955830352247,6
-0.046033744537026,0.0810557837169931,6
-0.0250087668435513,0.0623695019919866,6
-0.0101425453331772,0.0384664907413467,6
-0.00365135386780657,0.0175644100033625,6
-0.00189987608370698,-7.71354855380237e-05,6
-0.00335438321585942,-0.0177515705968979,6
-0.00796948108858612,-0.0348820294500272,6
-0.0155951756806928,-0.0509079094809137,6
-0.0259836268076849,-0.0653045666492429,6
-0.038797464129341,-0.0776004810498549,6
-0.0641259313411298,-0.0922797086719292,6
-0.0926728719712628,-0.0988693608830881,6
-0.121907257808707,-0.0967708820511276,6
-0.149238152564401,-0.08616215232321,6
-0.172246991050951,-0.0679762473047041,6
-0.188895824581068,-0.0438161489164233,6
-0.197913507375377,-0.0144486347017821,6
-0.197462944403205,0.0162795802910225,6
-0.190713243719164,0.0388430231647432,6
-0.178811779128085,0.0591795609094347,6
-0.162436948496274,0.0761298517017699,6
-0.142514504746592,0.0887309447835294,6
-0.120169694760194,0.0962652778089574,6
-0.0966681532968687,0.0983014759134894,6
-0.0689634497087271,0.0933804677981447,6
-0.043751149753206,0.0808588029142898,6
-0.0230655431691719,0.0617435257255351,6
-0.00858032043685423,0.037570975206423,6
-0.00230611876425269,0.0161561389954945,6
-0.00084640781360127,-0.00227163316758806,6
-0.00283420438835126,-0.0206544198021823,6
-0.00820219842366248,-0.0383538877447971,6
-0.0167641958087263,-0.0547540252992137,6
-0.0282234559606427,-0.0692839144131548,6
-0.0421832916130883,-0.0814375815341571,6
-0.0688327569508607,-0.0950495169952893,6
-0.0983422219721269,-0.100125111466307,6
-0.122640764389085,-0.0975813403270022,6
-0.145588230078332,-0.0891860552248612,6
-0.165805212933552,-0.0754458600981759,6
-0.182070784919448,-0.057185710048867,6
-0.193398416226653,-0.0355045345334767,6
-0.19910031406287,-0.011709331066537,6
-0.197664628016112,0.0196152221870276,6
-0.190217550465486,0.0419175905240275,6
-0.177746372583649,0.0618639667566347,6
-0.160947648883601,0.0783389647591473,6
-0.140754888167973,0.0904245505026331,6
-0.118287791635089,0.0974465297914841,6
-0.0947941539135996,0.0990112007960878,6
-0.0672119669724316,0.0936143986947985,6
-0.0422193388259809,0.0807365104002701,6
-0.0217960747500794,0.0613957033666605,6
-0.00756411094381536,0.0371194374100313,6
-0.00139295572406178,0.0153109557733993,6
-0.000292957540619227,-0.00733097607453255,6
-0.00307060498231239,-0.0250871738462285,6
-0.00898489814826188,-0.0420618591713357,6
-0.017845578487721,-0.0577065956227605,6
-0.0293670387977057,-0.0715147472915099,6
-0.043177573133291,-0.0830387103059606,6
-0.0588314746595531,-0.0919048392653632,6
-0.0887689535738733,-0.100191344380559,6
-0.119821415395416,-0.0989183955755414,6
-0.148994925323983,-0.0881954481705035,6
-0.173478919265092,-0.0690501220918319,6
-0.190920600150534,-0.0433225112576929,6
-0.199644004109891,-0.0134842669143009,6
-0.198458494343733,0.0194131450985972,6
-0.190977215408551,0.0419904364655984,6
-0.178391532764368,0.0621812304492827,6
-0.161413719736873,0.078847934428507,6
-0.14099392565501,0.0910562117763197,6
-0.118272918827666,0.0981204480681452,6
-0.0945237664736743,0.0996426321332875,6
-0.0666296501298454,0.0940746974133381,6
-0.0414105015078145,0.0809073663412618,6
-0.0208852673571393,0.0611957537405402,6
-0.00670068428078334,0.0365159152939862,6
-0.000692695395607356,0.0144719674641872,6
0.000182750135932926,-0.00836003133941421,6
-0.0025703348577389,-0.0252981642922386,6
-0.00816624478205853,-0.0415218983139745,6
-0.0164421460275614,-0.0565588197277259,6
-0.0271569011009698,-0.0699699248126632,6
-0.0399982132558414,-0.0813634068073878,6
-0.054591915861901,-0.0904065419669202,6
-0.0840221877933004,-0.100003654655672,6
-0.114987467893442,-0.100212688106534,6
-0.139644146202915,-0.0932349294851301,6
-0.161735143757015,-0.0802528225577119,6
-0.179834559874022,-0.0621108731016389,6
-0.192769619972424,-0.0399834721218339,6
-0.199698244943091,-0.0153043051052013,6
-0.200168566986606,0.0103260660618486,6
-0.193368686519289,0.0372278941375089,6
-0.179481513489595,0.0612505491919906,6
-0.159560669112077,0.0805695584329617,6
-0.135119507425024,0.0937159591044698,6
-0.108015863059271,0.0996895474045701,6
-0.0803097995755187,0.0980354758243219,6
-0.0541069546479446,0.0888786324578148,6
-0.0311704712129464,0.0727111064069744,6
-0.0135795567512884,0.0508482166588355,6
-0.0027033745586264,0.0249845553269585,6
0.000610743649002638,-0.002871782991393,6
3.00492013814283e-05,-0.0117046106971341,6
-0.00132484366480458,-0.020451874927658,6
-0.00344296476638435,-0.0290463310263015,6
-0.00630800955032194,-0.0374214022976216,6
-0.00989796596411622,-0.0455120346095892,6
-0.014185035462356,-0.0532555858635885,6
-0.0191359530824285,-0.0605922797788015,6
-0.0374795357623195,-0.0795483111902956,6
-0.0601202130076898,-0.0930940092725662,6
-0.0855014465347133,-0.100296028096661,6
-0.111877330501727,-0.100658131710166,6
-0.137436790509952,-0.0941571278313778,6
-0.160427070000671,-0.0812413718133736,6
-0.181322106829204,-0.0600773190273079,6
-0.195109630607789,-0.0337276046168932,6
-0.200588719399987,-0.00449752762166297,6
-0.197283744152715,0.0250583865437216,6
-0.185483507419219,0.0523573572297694,6
-0.16621877385316,0.0750134543475788,6
-0.141173054696478,0.0910476067736261,6
-0.10802804746322,0.0995156275857986,6
-0.0739561502321498,0.0963852868922734,6
