hi,it
-0.103276429444338,1
-0.103450353360417,1
-0.103402790212949,1
-0.103390580879571,1
-0.103282779293521,1
-0.103449893499179,1
-0.103411957383382,1
-0.103392016251185,1
-0.103286490479656,1
-0.103446311305752,1
-0.103415853645981,1
-0.103385279361765,1
-0.103291089751876,1
-0.10344811451995,1
-0.103420059499947,1
-0.103381737901957,1
-0.103300042548057,1
-0.103449832018826,1
-0.103418947296916,1
-0.103373320438605,1
-0.103306448282437,1
-0.1034485230116,1
-0.103427544984686,1
-0.103373952375087,1
-0.103310511561195,1
-0.103444455289105,1
-0.103233523965757,1
-0.103430116809363,1
-0.103366514627786,1
-0.103314875244938,1
-0.103444624581653,1
-0.103234162770636,1
-0.103433633295234,1
-0.103362218719738,1
-0.103324083162914,1
-0.103445417964361,1
-0.103229383308153,1
-0.103431170853008,1
-0.103353138340324,1
-0.103330202966728,1
-0.103442602350418,1
-0.103225435958937,1
-0.1034389868845,1
-0.103353101770572,1
-0.103334438906626,1
-0.103437758589883,1
-0.103220623958398,1
-0.103221911671427,1
-0.103440141859633,1
-0.10334616335444,1
-0.103338240491799,1
-0.103436322044193,1
-0.103224684085271,1
-0.103224714866888,1
-0.103442781962389,1
-0.103342135735026,1
-0.103347519512098,1
-0.103436742395016,1
-0.103224221553101,1
-0.10322191529504,1
-0.103438932231422,1
-0.103332304680449,1
-0.103353025401466,1
-0.103433104420735,1
-0.103225379499531,1
-0.103445786636658,1
-0.103332174520098,1
-0.10335724689075,1
-0.103430175945517,1
-0.10322983532272,1
-0.103445493685733,1
-0.10332525185894,1
-0.103360186186903,1
-0.103426448890314,1
-0.103235045701307,1
-0.103447107914025,1
-0.103320389446884,1
-0.103369349751152,1
-0.103428006954371,1
-0.103235737720252,1
-0.103441893110035,1
-0.103310394564056,1
-0.103373941537343,1
-0.10342298583711,1
-0.103238341627711,1
-0.103447646699775,1
-0.103309577898879,1
-0.103377961143787,1
-0.103419303476925,1
-0.103245979665778,1
-0.103448307076721,1
-0.103303471213431,1
-0.103379776641851,1
-0.103414125617958,1
-0.103251641966516,1
-0.103449769519979,1
-0.103298476579807,1
-0.103388642641602,1
-0.103414908707732,1
-0.10325456526989,1
-0.103445470464812,1
-0.1032882826191,1
-0.103392060502151,1
-0.103408677065462,1
-0.103258887790638,1
-0.103449942403215,1
-0.103286685095036,1
-0.103395697986455,1
-0.103404321761853,1
-0.103267170791946,1
-0.103450448293777,1
-0.103396177350448,1
-0.103397898766684,1
-0.103273365400423,1
-0.103450564098922,1
-0.103404575060509,1
-0.103398141657014,1
-0.103276866017132,1
-0.103445244215298,1
-0.103408512051194,1
-0.103391795787943,1
-0.103281431954974,1
-0.103448257862828,1
-0.103412921347389,1
-0.103388608810624,1
-0.103290210846147,1
-0.103449758619139,1
-0.103412333756907,1
-0.103380580684607,1
-0.103296603084238,1
-0.103449079455389,1
-0.103421174589524,1
-0.103381543097245,1
-0.103300524783483,1
-0.103445360736266,1
-0.103424299672295,1
-0.103374388505385,1
-0.103304995657023,1
