hi,it
-0.103367518911707,1
-0.103357656872224,1
-0.103464813335333,1
-0.103196446806659,1
-0.103473947568562,1
-0.1033496231409,1
-0.103370059543274,1
-0.103471704758383,1
-0.103195586767281,1
-0.103482909184207,1
-0.103346774316194,1
-0.103383560418156,1
-0.103467063376999,1
-0.103198584047213,1
-0.103474604293699,1
-0.103382880534147,1
-0.103457824970575,1
-0.103209289843055,1
-0.103493707164531,1
-0.103388561554826,1
-0.103450210857637,1
-0.103477604179132,1
-0.103398223477235,1
-0.103453597803928,1
-0.103222388802742,1
-0.103486444360714,1
-0.103413117443501,1
-0.103451199022534,1
-0.103476441772043,1
-0.10340994436671,1
-0.103436373821773,1
-0.103497360793032,1
-0.103415822994473,1
-0.103433345674478,1
-0.103481091447123,1
-0.103422610013269,1
-0.103429635775037,1
-0.103488188971869,1
-0.103437671678261,1
-0.103432807588636,1
-0.10347645054436,1
-0.103431266330386,1
-0.103414878182043,1
-0.103494825845913,1
-0.103437457181017,1
-0.103411570966577,1
-0.103483022313493,1
-0.103440698632663,1
-0.103405131721963,1
-0.103486235942425,1
-0.103459588606755,1
-0.103410478149389,1
-0.103476212925429,1
-0.103450543083679,1
-0.10339042015653,1
-0.103491461576075,1
-0.103459596691084,1
-0.103389236921852,1
-0.103479231878411,1
-0.103457757157606,1
-0.10337835147401,1
-0.103327719311205,1
-0.103478824083648,1
-0.103478335268469,1
-0.103384728591997,1
-0.103468507744283,1
-0.103189275188453,1
-0.103195151542012,1
-0.103465834098628,1
-0.103365443054799,1
-0.103347917093081,1
-0.103479753871334,1
-0.103196032784529,1
-0.103474923843343,1
-0.103364100501114,1
-0.103359498876195,1
-0.103473113544921,1
-0.103184343639286,1
-0.103181562708779,1
-0.10346932935127,1
-0.103351050485032,1
-0.103359829583018,1
-0.103466697052416,1
-0.103192083919643,1
-0.103489047952908,1
-0.103358053394078,1
-0.103365498136044,1
-0.103459493660584,1
-0.10320494076339,1
-0.103473106119948,1
-0.103376461786265,1
-0.103465409903642,1
-0.103202763023083,1
-0.103481921507184,1
-0.103391252894495,1
-0.103460983179553,1
-0.103472544766759,1
-0.103389744647157,1
-0.103450656588112,1
-0.103492031003019,1
-0.103395515038905,1
-0.103443210860157,1
-0.103477380802285,1
-0.103404224552854,1
-0.103445613155065,1
-0.103232229134233,1
-0.103485714212774,1
-0.103419202416442,1
-0.103444991918159,1
-0.103475088225797,1
-0.103414988126869,1
