freqs,specs
-2.99803242901665,3.00822749405951e-05
-2.99444197101782,2.97928460807746e-05
-2.990851513019,2.97522931303347e-05
-2.98726105502018,2.97497107628412e-05
-2.98367059702136,2.97599419340679e-05
-2.98008013902253,2.97762628482883e-05
-2.97648968102371,2.97957040597686e-05
-2.97289922302489,2.9817169885047e-05
-2.96930876502607,2.98399295140034e-05
-2.96571830702724,2.98635582194851e-05
-2.96212784902842,2.98878604729417e-05
-2.9585373910296,2.99124862623816e-05
-2.95494693303078,2.99378034011993e-05
-2.95135647503196,2.99632542553772e-05
-2.94776601703313,2.99891266807249e-05
-2.94417555903431,3.00151148671174e-05
-2.94058510103549,3.00412642815976e-05
-2.93699464303667,3.0067635467142e-05
-2.93340418503784,3.00941363728076e-05
-2.92981372703902,3.0120678416436e-05
-2.9262232690402,3.01476639371609e-05
-2.92263281104138,3.01744413654854e-05
-2.91904235304255,3.02012866847622e-05
-2.91545189504373,3.02284953099887e-05
-2.91186143704491,3.02556235438408e-05
-2.90827097904609,3.02828828087169e-05
-2.90468052104727,3.03101841765281e-05
-2.90109006304844,3.03376541616394e-05
-2.89749960504962,3.03650915200763e-05
-2.8939091470508,3.03926647882105e-05
-2.89031868905198,3.04202649374887e-05
-2.88672823105315,3.04479907385215e-05
-2.88313777305433,3.04757317963451e-05
-2.87954731505551,3.05035284534992e-05
-2.87595685705669,3.05314197002768e-05
-2.87236639905786,3.05593893779106e-05
-2.86877594105904,3.05874115625079e-05
-2.86518548306022,3.0615503615523e-05
-2.8615950250614,3.06436266235314e-05
-2.85800456706257,3.06718579916097e-05
-2.85441410906375,3.07001857305478e-05
-2.85082365106493,3.07285085721758e-05
-2.84723319306611,3.07569819654961e-05
-2.84364273506729,3.07854045663767e-05
-2.84005227706846,3.08139509751402e-05
-2.83646181906964,3.08425195103199e-05
-2.83287136107082,3.08712195160428e-05
-2.829280903072,3.09005355105192e-05
-2.82569044507317,3.09282710817192e-05
-2.82209998707435,3.09572514101531e-05
-2.81850952907553,3.09860376169733e-05
-2.81491907107671,3.10150377240437e-05
-2.81132861307788,3.10440323830472e-05
-2.80773815507906,3.1073146085329e-05
-2.80414769708024,3.11022541372308e-05
-2.80055723908142,3.11314409568445e-05
-2.7969667810826,3.11605566476063e-05
-2.79337632308377,3.11899077536659e-05
-2.78978586508495,3.12192383850059e-05
-2.78619540708613,3.12487160961872e-05
-2.78260494908731,3.12781096919079e-05
-2.77901449108848,3.13076559058192e-05
-2.77542403308966,3.1337193412449e-05
-2.77183357509084,3.13668903808231e-05
-2.76824311709202,3.13965344190732e-05
-2.76465265909319,3.14262506519899e-05
-2.76106220109437,3.14560736121417e-05
-2.75747174309555,3.14858835194937e-05
-2.75388128509673,3.15159472395909e-05
-2.7502908270979,3.15459196939977e-05
-2.74670036909908,3.15761118801607e-05
-2.74310991110026,3.16061384566669e-05
-2.73951945310144,3.16364077737048e-05
-2.73592899510262,3.16664401008513e-05
-2.73233853710379,3.16967735914756e-05
-2.72874807910497,3.17270355877725e-05
-2.72515762110615,3.17574541500799e-05
-2.72156716310733,3.17879633523737e-05
-2.7179767051085,3.18187049262457e-05
-2.71438624710968,3.18490356989403e-05
-2.71079578911086,3.18797222896338e-05
-2.70720533111204,3.19104321502264e-05
-2.70361487311321,3.19412654948335e-05
-2.70002441511439,3.19721159590593e-05
-2.69643395711557,3.20029129257267e-05
-2.69284349911675,3.20339474342371e-05
-2.68925304111792,3.20649753461273e-05
-2.6856625831191,3.20961165170332e-05
-2.68207212512028,3.21272915820852e-05
-2.67848166712146,3.21585932424803e-05
-2.67489120912264,3.21900104008235e-05
-2.67130075112381,3.22218095634825e-05
-2.66771029312499,3.22568028889396e-05
-2.66411983512617,3.2281672018804e-05
-2.66052937712735,3.23142741653918e-05
-2.65693891912852,3.23461418486636e-05
-2.6533484611297,3.23779028802719e-05
-2.64975800313088,3.240971169741e-05
-2.64616754513206,3.24414818579299e-05
-2.64257708713324,3.24733479241751e-05
-2.63898662913441,3.2505272900475e-05
-2.63539617113559,3.25372627981263e-05
-2.63180571313677,3.25692749229248e-05
-2.62821525513795,3.26012777535222e-05
-2.62462479713912,3.26336643082639e-05
-2.6210343391403,3.26657623163145e-05
-2.61744388114148,3.26980797278067e-05
-2.61385342314266,3.27303467227958e-05
-2.61026296514383,3.276279703537e-05
-2.60667250714501,3.27950584324967e-05
-2.60308204914619,3.28277058697876e-05
-2.59949159114737,3.2860273166594e-05
-2.59590113314854,3.28928613393575e-05
-2.59231067514972,3.29257588090346e-05
-2.5887202171509,3.29585044515564e-05
-2.58512975915208,3.29914942676606e-05
-2.58153930115326,3.30243768033149e-05
-2.57794884315443,3.3057360466474e-05
-2.57435838515561,3.30902675998922e-05
-2.57076792715679,3.31235119459426e-05
-2.56717746915797,3.31567214398462e-05
-2.56358701115914,3.31899829851249e-05
-2.55999655316032,3.32232553434665e-05
-2.5564060951615,3.32567142412472e-05
-2.55281563716268,3.32899351469591e-05
-2.54922517916385,3.33235601381052e-05
-2.54563472116503,3.33572568908126e-05
-2.54204426316621,3.33908617714224e-05
-2.53845380516739,3.34245880961404e-05
-2.53486334716857,3.34584561073878e-05
-2.53127288916974,3.34922940529309e-05
-2.52768243117092,3.35262944352575e-05
-2.5240919731721,3.3560211918112e-05
-2.52050151517328,3.35942643338347e-05
-2.51691105717445,3.36284534113076e-05
-2.51332059917563,3.36626023206714e-05
-2.50973014117681,3.36968963289445e-05
-2.50613968317799,3.37311971511834e-05
-2.50254922517916,3.37656921366867e-05
-2.49895876718034,3.38001421822829e-05
-2.49536830918152,3.3834766719251e-05
-2.4917778511827,3.38692320723472e-05
-2.48818739318387,3.39038794350663e-05
-2.48459693518505,3.39386329424259e-05
-2.48100647718623,3.39733470999003e-05
-2.47741601918741,3.40080773076295e-05
-2.47382556118859,3.40427108258383e-05
-2.47023510318976,3.40770095226115e-05
-2.46664464519094,3.41090301640458e-05
-2.46305418719212,3.41612460821537e-05
-2.4594637291933,3.41876278746145e-05
-2.45587327119447,3.42219263427272e-05
-2.45228281319565,3.42567355428797e-05
-2.44869235519683,3.42919943640579e-05
-2.44510189719801,3.43274289338204e-05
-2.44151143919918,3.43630647965679e-05
-2.43792098120036,3.43987274509924e-05
-2.43433052320154,3.44344523756669e-05
-2.43074006520272,3.4470300673843e-05
-2.4271496072039,3.45062443579016e-05
-2.42355914920507,3.45423664950784e-05
-2.41996869120625,3.45783599437387e-05
-2.41637823320743,3.46145701769321e-05
-2.41278777520861,3.46508732071776e-05
-2.40919731720978,3.46871774505884e-05
-2.40560685921096,3.47238176525504e-05
-2.40201640121214,3.47599918033159e-05
-2.39842594321332,3.47965972344526e-05
-2.39483548521449,3.48333463584334e-05
-2.39124502721567,3.48697364138252e-05
-2.38765456921685,3.49066923527651e-05
-2.38406411121803,3.49435042545037e-05
-2.38047365321921,3.49806651748646e-05
-2.37688319522038,3.50175969979909e-05
-2.37329273722156,3.50551502964126e-05
-2.36970227922274,3.5092072876169e-05
-2.36611182122392,3.51293511193049e-05
-2.36252136322509,3.51666370411211e-05
-2.35893090522627,3.52040887489591e-05
-2.35534044722745,3.52415352991922e-05
-2.35174998922863,3.52791064534001e-05
-2.3481595312298,3.53167107893026e-05
-2.34456907323098,3.53543492585072e-05
-2.34097861523216,3.53918870057297e-05
-2.33738815723334,3.54290750333138e-05
-2.33379769923451,3.54544136619011e-05
-2.33020724123569,3.55090462531549e-05
-2.32661678323687,3.55460967175816e-05
-2.32302632523805,3.55839670762915e-05
-2.31943586723923,3.56221494529139e-05
-2.3158454092404,3.56605341876927e-05
-2.31225495124158,3.56989421832366e-05
-2.30866449324276,3.5737551810959e-05
-2.30507403524394,3.57762044248701e-05
-2.30148357724511,3.58149213637985e-05
-2.29789311924629,3.5853906964344e-05
-2.29430266124747,3.58932502729624e-05
-2.29071220324865,3.59310410420518e-05
-2.28712174524982,3.59705546591087e-05
-2.283531287251,3.60097465006706e-05
-2.27994082925218,3.60491334489479e-05
-2.27635037125336,3.60885087823964e-05
-2.27275991325454,3.61279549125143e-05
-2.26916945525571,3.61675702532469e-05
-2.26557899725689,3.62072293443893e-05
-2.26198853925807,3.62474202322128e-05
-2.25839808125925,3.62866775630322e-05
-2.25480762326042,3.6326574931856e-05
-2.2512171652616,3.63666121165551e-05
-2.24762670726278,3.64067352219203e-05
-2.24403624926396,3.6446938106283e-05
-2.24044579126513,3.64871605162714e-05
-2.23685533326631,3.65275688882782e-05
-2.23326487526749,3.65679578820811e-05
-2.22967441726867,3.66085451167449e-05
-2.22608395926984,3.66492574194235e-05
