xt,yt,i
-0.099875457649488,-0.000934159569024673,3
-0.0999130792775039,-0.000974075964766428,3
-0.0999627135041912,-0.00100631548317283,3
-0.100022444176287,-0.00102631849161479,3
-0.100088688339396,-0.00103097322924667,3
-0.100156909680545,-0.00101835852271744,3
-0.100222121667595,-0.000987564442252089,3
-0.100278956502787,-0.000939079549530333,3
-0.100322219895348,-0.000875218601321469,3
-0.100342501421139,-0.00078893878316328,3
-0.100325468205463,-0.000705283643319177,3
-0.100295465996315,-0.000634203640583619,3
-0.10024764476777,-0.00056592579801043,3
-0.100183877586885,-0.000513780053312457,3
-0.100110783317239,-0.000484147522658247,3
-0.10003350203025,-0.000476531179915002,3
-0.099956349814235,-0.000489772657146862,3
-0.0998855010529888,-0.000522833836925481,3
-0.0998256400675283,-0.000574669687400109,3
-0.0997833669076617,-0.000640100288094705,3
-0.0997611579608429,-0.000713689652790075,3
-0.0997599579298449,-0.000789723468203427,3
-0.0997793666346707,-0.00086226800828501,3
-0.0998173986866008,-0.000925700868328529,3
-0.0998706177033517,-0.000975393857417163,3
-0.0999419293779723,-0.00101959467882489,3
-0.100014106697117,-0.00104518689235472,3
-0.100077084375463,-0.00103864930294362,3
-0.100135527800396,-0.00101031715855682,3
-0.100184572870263,-0.000971022399430921,3
-0.100223705845857,-0.000926649365274708,3
-0.100251201873032,-0.000877940371787102,3
-0.10026512411641,-0.00082642445690213,3
-0.100266308528789,-0.000775137105537706,3
-0.100256627266942,-0.00072602284553392,3
-0.100238043619408,-0.000681597149285104,3
-0.100211888414375,-0.000643084003979416,3
-0.100179413233745,-0.000611375321889141,3
-0.100141977411497,-0.000586918995443924,3
-0.100100893307883,-0.000569972352645016,3
-0.100057435642362,-0.000560860668966955,3
-0.0999943899058108,-0.000567778844933857,3
-0.0999267313284193,-0.000598015297226081,3
-0.0998822152270236,-0.000625867560881919,3
-0.0998442953650682,-0.000657060398611697,3
-0.0998141389332425,-0.000699035115077892,3
-0.099796365611319,-0.000752759219450179,3
-0.0997928027133093,-0.000812995874719787,3
-0.0998033823951699,-0.000874851193875262,3
-0.0998293094856551,-0.000934662942280076,3
-0.0998720825059466,-0.000988769959169265,3
-0.0999304469438144,-0.00103153399628258,3
-0.100001034674892,-0.00105869270506904,3
-0.100079298717825,-0.0010669267245539,3
-0.100159750707618,-0.00105383766491008,3
-0.100236052101495,-0.00101862622251251,3
-0.100301713284555,-0.000962618729849055,3
-0.100351100077955,-0.000877329335313828,3
-0.100361593155011,-0.000785426701363522,3
-0.100350167829253,-0.000701747300124382,3
-0.100316543697258,-0.000616871566158788,3
-0.100261904372973,-0.000545600830799617,3
-0.100192611126461,-0.000495748962757621,3
-0.100113828480455,-0.000468216034659866,3
-0.100030311737659,-0.000463203865973866,3
-0.0999491590578818,-0.000480740647067646,3
-0.0998760403187011,-0.000519949637508038,3
-0.0998185528022908,-0.000576359989211184,3
-0.0997799830629504,-0.000644699321623254,3
-0.0997620977414991,-0.000719296360982977,3
-0.09976524669371,-0.000794036549320212,3
-0.0997880257628404,-0.000863043241534252,3
-0.0998275534143288,-0.000921481908078559,3
-0.0998852072515574,-0.000980342248675201,3
-0.0999482918425002,-0.00102400034559608,3
-0.100008050604629,-0.00103345687580784,3
-0.100067120490228,-0.00102153536120607,3
-0.100120752949036,-0.000998105007516001,3
-0.100168276421609,-0.00096798551236154,3
-0.100207421451049,-0.000930975536400397,3
-0.100235437514337,-0.00088795923988955,3
-0.100252259500371,-0.00084156248689761,3
-0.100259012887632,-0.000793406867385021,3
-0.100256355395244,-0.000746017747035616,3
-0.10024467211923,-0.000700938566498437,3
-0.100224491267342,-0.000659683864970478,3
-0.100196715175181,-0.000623387823459689,3
-0.100162321922604,-0.000592910323833802,3
-0.100122286544827,-0.000569167850056854,3
-0.100058901070928,-0.000557568152005077,3
-0.0999856601992652,-0.000569838096957147,3
-0.0999333328745244,-0.000584299721997125,3
-0.0998848091291897,-0.000603817656165684,3
-0.0998415294996552,-0.000636529409123732,3
-0.0998085038529811,-0.000684223054840977,3
-0.0997883218772353,-0.000742319128960049,3
-0.0997819140440928,-0.000806156766230474,3
-0.099791481263329,-0.000872047543522225,3
-0.0998194439646351,-0.000936645898400333,3
-0.0998658344644286,-0.000993571614686758,3
-0.0999282937344892,-0.00103765881831853,3
-0.100002887199087,-0.00106441178228228,3
-0.100084410724426,-0.001070259301166,3
-0.100166564569366,-0.00105325188070057,3
-0.100242587677172,-0.00101358722748708,3
-0.100310022151679,-0.000944279432477227,3
-0.100342981990673,-0.000862490888799111,3
-0.100351357033434,-0.000781822857350651,3
-0.100337999150691,-0.000695070806389,3
-0.100302757717467,-0.00061679965031828,3
-0.100250587259688,-0.000555076672637829,3
-0.100185403991625,-0.000511509314216958,3
-0.100110920606742,-0.000487328445654285,3
-0.100033439445753,-0.000483877820826355,3
-0.099958572137999,-0.000501208528999597,3
-0.0998936517670378,-0.000536856631701638,3
