freqs,specs
-2.99803242901665,2.79843693046683e-05
-2.99444197101782,2.85228658619361e-05
-2.990851513019,2.86599943277011e-05
-2.98726105502018,2.87350721387094e-05
-2.98367059702136,2.87879891888563e-05
-2.98008013902253,2.88310888524602e-05
-2.97648968102371,2.88687836760292e-05
-2.97289922302489,2.89035170203793e-05
-2.96930876502607,2.89365675112147e-05
-2.96571830702724,2.89683099452386e-05
-2.96212784902842,2.90003071457655e-05
-2.9585373910296,2.90310651057135e-05
-2.95494693303078,2.90476037481649e-05
-2.95135647503196,2.9088367277402e-05
-2.94776601703313,2.91153455091699e-05
-2.94417555903431,2.91406462606183e-05
-2.94058510103549,2.91681334565881e-05
-2.93699464303667,2.91966720930576e-05
-2.93340418503784,2.92250169950137e-05
-2.92981372703902,2.9253142835299e-05
-2.9262232690402,2.92813783773295e-05
-2.92263281104138,2.93092460105037e-05
-2.91904235304255,2.93387925996596e-05
-2.91545189504373,2.93680234525567e-05
-2.91186143704491,2.93891370246997e-05
-2.90827097904609,2.94223805420112e-05
-2.90468052104727,2.94453786375646e-05
-2.90109006304844,2.94751715948289e-05
-2.89749960504962,2.95041311961131e-05
-2.8939091470508,2.95304877297947e-05
-2.89031868905198,2.95574627053497e-05
-2.88672823105315,2.95852180507059e-05
-2.88313777305433,2.96136293235551e-05
-2.87954731505551,2.96420106823419e-05
-2.87595685705669,2.9669484753927e-05
-2.87236639905786,2.96959902022911e-05
-2.86877594105904,2.97244632370302e-05
-2.86518548306022,2.97522476794968e-05
-2.8615950250614,2.97801531469874e-05
-2.85800456706257,2.98081523468017e-05
-2.85441410906375,2.98365574442085e-05
-2.85082365106493,2.98648854236232e-05
-2.84723319306611,2.98921105727114e-05
-2.84364273506729,2.99202269776801e-05
-2.84005227706846,2.99476576815244e-05
-2.83646181906964,2.9975445749371e-05
-2.83287136107082,3.00040357916834e-05
-2.829280903072,3.00329530523656e-05
-2.82569044507317,3.00610493124913e-05
-2.82209998707435,3.00893448765518e-05
-2.81850952907553,3.01184544361396e-05
-2.81491907107671,3.01463479064863e-05
-2.81132861307788,3.01751488972991e-05
-2.80773815507906,3.02036626090579e-05
-2.80414769708024,3.02323525145891e-05
-2.80055723908142,3.02606767259147e-05
-2.7969667810826,3.02889739432613e-05
-2.79337632308377,3.03195977025779e-05
-2.78978586508495,3.03457684013519e-05
-2.78619540708613,3.03745500945871e-05
-2.78260494908731,3.04038621565586e-05
-2.77901449108848,3.04328443829838e-05
-2.77542403308966,3.04618074634183e-05
-2.77183357509084,3.04910296162744e-05
-2.76824311709202,3.05200494445988e-05
-2.76465265909319,3.05493061011459e-05
-2.76106220109437,3.05782793449624e-05
-2.75747174309555,3.06080667113013e-05
-2.75388128509673,3.06374699392701e-05
-2.7502908270979,3.06626151642528e-05
-2.74670036909908,3.06947849006611e-05
-2.74310991110026,3.07213989680362e-05
-2.73951945310144,3.07547614113924e-05
-2.73592899510262,3.07901182774061e-05
-2.73233853710379,3.08200898349783e-05
-2.72874807910497,3.08480411509082e-05
-2.72515762110615,3.08753582023992e-05
-2.72156716310733,3.09043467371316e-05
-2.7179767051085,3.0933653400107e-05
-2.71438624710968,3.09634864428716e-05
-2.71079578911086,3.09924490287124e-05
-2.70720533111204,3.10229364630534e-05
-2.70361487311321,3.10528806424355e-05
-2.70002441511439,3.10837911778198e-05
-2.69643395711557,3.11126980293029e-05
-2.69284349911675,3.11433907950821e-05
-2.68925304111792,3.11750492976989e-05
-2.6856625831191,3.12060294458239e-05
-2.68207212512028,3.12350285013676e-05
