hi,it
-0.100602707365784,1
-0.100679264617199,1
-0.100619835395997,1
-0.100656023784948,1
-0.100628898110169,1
-0.100662235784212,1
-0.100648337444229,1
-0.100623290917899,1
-0.100671332068718,1
-0.100630851008097,1
-0.100658101065441,1
-0.100595477066595,1
-0.100702319291489,1
-0.100616369053845,1
-0.100681466796239,1
-0.100604518923016,1
-0.100712568454418,1
-0.100603720735612,1
-0.10070079255623,1
-0.100633863995266,1
-0.100702444573213,1
-0.100620043180975,1
-0.100693223818932,1
-0.100643874737997,1
-0.100660153927981,1
-0.100650018226928,1
-0.100680958638463,1
-0.10066338893676,1
-0.100629811193081,1
-0.100695569542451,1
-0.100647809776805,1
-0.100670889638504,1
-0.100605500628566,1
-0.100727141158378,1
-0.100630757923163,1
-0.100692967643215,1
-0.100622010006228,1
-0.100735229502898,1
-0.100620588173494,1
-0.100716558541689,1
-0.100659661494627,1
-0.10072414774848,1
-0.10063564430792,1
-0.100712204144858,1
-0.100666871246445,1
-0.100671688020069,1
-0.100664068978982,1
-0.100694893321439,1
-0.100679760961921,1
-0.100640613118193,1
-0.100711053010528,1
-0.100662350723227,1
-0.100687541155705,1
-0.100618174354716,1
-0.100744759018413,1
-0.10064636111416,1
-0.100706691269772,1
-0.100636694389073,1
-0.100753035729266,1
-0.100635802172077,1
-0.100730221035155,1
-0.100678276479326,1
-0.100742210824526,1
-0.100649025581613,1
-0.100726617554846,1
-0.100684456815778,1
-0.100686032301427,1
-0.100675123698425,1
-0.10070874262912,1
-0.10069501618178,1
-0.100652215610316,1
-0.100722726206071,1
-0.100677082405525,1
-0.100699253856595,1
-0.100628178474742,1
-0.100757805463774,1
-0.100661816637774,1
-0.100717081364124,1
-0.100647953243346,1
-0.100767957239804,1
-0.100649517461304,1
-0.100742224956113,1
-0.10069167556183,1
-0.100755561752773,1
-0.100658577064699,1
-0.100737746750896,1
-0.100696972637796,1
-0.100700729330582,1
-0.100683370168663,1
-0.100723606980848,1
-0.100708246329687,1
-0.100662765544313,1
-0.100731588044696,1
-0.100692547783964,1
-0.100709051384864,1
-0.100637224315665,1
-0.100767422429705,1
-0.100676552692886,1
