freqs,specs
-2.99803242901665,2.87108331408541e-05
-2.99444197101782,2.92620777214689e-05
-2.990851513019,2.94016422573725e-05
-2.98726105502018,2.94771693282616e-05
-2.98367059702136,2.95312356529049e-05
-2.98008013902253,2.95755020156567e-05
-2.97648968102371,2.9614333255232e-05
-2.97289922302489,2.96500581908261e-05
-2.96930876502607,2.9683650357356e-05
-2.96571830702724,2.97159460886448e-05
-2.96212784902842,2.97471685618472e-05
-2.9585373910296,2.97777686426503e-05
-2.95494693303078,2.98077019141679e-05
-2.95135647503196,2.9837319824371e-05
-2.94776601703313,2.98665618868336e-05
-2.94417555903431,2.98956144016694e-05
-2.94058510103549,2.99244603652809e-05
-2.93699464303667,2.99531528029982e-05
-2.93340418503784,2.9981773212986e-05
-2.92981372703902,3.00102572199416e-05
-2.9262232690402,3.0038691394743e-05
-2.92263281104138,3.00670732667374e-05
-2.91904235304255,3.00955623986275e-05
-2.91545189504373,3.01236572588672e-05
-2.91186143704491,3.01519470951313e-05
-2.90827097904609,3.0180307497482e-05
-2.90468052104727,3.02085930620599e-05
-2.90109006304844,3.02368411299801e-05
-2.89749960504962,3.02651445896401e-05
-2.8939091470508,3.0293444434414e-05
-2.89031868905198,3.03218426793114e-05
-2.88672823105315,3.03501093229417e-05
-2.88313777305433,3.03784988049218e-05
-2.87954731505551,3.04068722607595e-05
-2.87595685705669,3.04352595428403e-05
-2.87236639905786,3.04637364806326e-05
-2.86877594105904,3.0492473378982e-05
-2.86518548306022,3.05207751518751e-05
-2.8615950250614,3.05493080677963e-05
-2.85800456706257,3.05778930970348e-05
-2.85441410906375,3.06065327456968e-05
-2.85082365106493,3.06352379091373e-05
-2.84723319306611,3.06639048801199e-05
-2.84364273506729,3.06927130546445e-05
-2.84005227706846,3.07214822055677e-05
-2.83646181906964,3.07504135065927e-05
-2.83287136107082,3.07793650059231e-05
-2.829280903072,3.08089022788694e-05
-2.82569044507317,3.08365800063607e-05
-2.82209998707435,3.08658636476465e-05
-2.81850952907553,3.08950606955856e-05
-2.81491907107671,3.0924171942613e-05
-2.81132861307788,3.09533161539617e-05
-2.80773815507906,3.09825757965325e-05
-2.80414769708024,3.10118492438714e-05
-2.80055723908142,3.10411920833772e-05
-2.7969667810826,3.10703736219791e-05
-2.79337632308377,3.10998531588746e-05
-2.78978586508495,3.1129329683366e-05
-2.78619540708613,3.11589064973455e-05
-2.78260494908731,3.11884459760981e-05
-2.77901449108848,3.12180634761802e-05
-2.77542403308966,3.12477281653466e-05
-2.77183357509084,3.12774441269786e-05
-2.76824311709202,3.1307249191341e-05
-2.76465265909319,3.13370806669002e-05
-2.76106220109437,3.13669367942649e-05
-2.75747174309555,3.13968562395477e-05
-2.75388128509673,3.14268837392319e-05
-2.7502908270979,3.14569643830217e-05
-2.74670036909908,3.14870424346644e-05
-2.74310991110026,3.15171443002688e-05
-2.73951945310144,3.15472964927011e-05
-2.73592899510262,3.15778289976936e-05
-2.73233853710379,3.16080602200391e-05
-2.72874807910497,3.16383826216747e-05
-2.72515762110615,3.16688593278849e-05
-2.72156716310733,3.16993616556704e-05
-2.7179767051085,3.17297849284496e-05
-2.71438624710968,3.17604901445533e-05
-2.71079578911086,3.17911922136719e-05
-2.70720533111204,3.1821904276143e-05
-2.70361487311321,3.18527534781285e-05
-2.70002441511439,3.18836261547512e-05
-2.69643395711557,3.19145286238332e-05
-2.69284349911675,3.19455438184901e-05
-2.68925304111792,3.19766204112093e-05
-2.6856625831191,3.20077860360417e-05
-2.68207212512028,3.20390422820959e-05
-2.67848166712146,3.20704329483071e-05
-2.67489120912264,3.21021341486472e-05
-2.67130075112381,3.21344768402934e-05
-2.66771029312499,3.21742373005471e-05
-2.66411983512617,3.21904259891749e-05
-2.66052937712735,3.22244666048753e-05
-2.65693891912852,3.22567513876299e-05
-2.6533484611297,3.22886515922589e-05
-2.64975800313088,3.2320501272717e-05
-2.64616754513206,3.23523604350265e-05
-2.64257708713324,3.23842393108865e-05
-2.63898662913441,3.24161375014908e-05
-2.63539617113559,3.24481501109585e-05
-2.63180571313677,3.24800927186234e-05
-2.62821525513795,3.25120383975889e-05
-2.62462479713912,3.25444377929058e-05
-2.6210343391403,3.25765422694383e-05
-2.61744388114148,3.26087471315902e-05
-2.61385342314266,3.26410994366136e-05
-2.61026296514383,3.26734621582958e-05
-2.60667250714501,3.27058849714698e-05
-2.60308204914619,3.27383857836375e-05
-2.59949159114737,3.27709416423907e-05
-2.59590113314854,3.28035708313709e-05
-2.59231067514972,3.28362450442446e-05
-2.5887202171509,3.28689722685506e-05
-2.58512975915208,3.29018404395559e-05
-2.58153930115326,3.29347355261741e-05
-2.57794884315443,3.29676652860847e-05
-2.57435838515561,3.30005518153124e-05
-2.57076792715679,3.30337738988343e-05
-2.56717746915797,3.30668409140541e-05
-2.56358701115914,3.31000917589837e-05
-2.55999655316032,3.31334065390706e-05
-2.5564060951615,3.31668526673798e-05
-2.55281563716268,3.31999853799556e-05
-2.54922517916385,3.32335319133307e-05
-2.54563472116503,3.32674789662998e-05
-2.54204426316621,3.3300820489734e-05
-2.53845380516739,3.33344737013305e-05
-2.53486334716857,3.33680775501491e-05
-2.53127288916974,3.34019808933874e-05
-2.52768243117092,3.34358914029479e-05
-2.5240919731721,3.3469846627018e-05
-2.52050151517328,3.35038500524968e-05
-2.51691105717445,3.35379718178286e-05
-2.51332059917563,3.35721574109543e-05
-2.50973014117681,3.36063887035119e-05
-2.50613968317799,3.36406972662845e-05
-2.50254922517916,3.36751147316349e-05
-2.49895876718034,3.37095506868212e-05
-2.49536830918152,3.3744060268577e-05
-2.4917778511827,3.37787528342065e-05
-2.48818739318387,3.38134337604947e-05
-2.48459693518505,3.3848252008609e-05
-2.48100647718623,3.38831585775594e-05
-2.47741601918741,3.39182432354577e-05
-2.47382556118859,3.39534695582804e-05
-2.47023510318976,3.39892932870867e-05
-2.46664464519094,3.40276816940189e-05
-2.46305418719212,3.40490211653175e-05
-2.4594637291933,3.40903438760246e-05
-2.45587327119447,3.41267686452961e-05
-2.45228281319565,3.41623362272466e-05
-2.44869235519683,3.41980436023413e-05
-2.44510189719801,3.42336935620488e-05
-2.44151143919918,3.42693803341892e-05
-2.43792098120036,3.43051096811246e-05
-2.43433052320154,3.43408739258153e-05
-2.43074006520272,3.43767943694746e-05
-2.4271496072039,3.44126918816192e-05
-2.42355914920507,3.44487032752167e-05
-2.41996869120625,3.44847240061208e-05
-2.41637823320743,3.45208383144753e-05
-2.41278777520861,3.45570783823081e-05
-2.40919731720978,3.45933559764173e-05
-2.40560685921096,3.46296975806653e-05
-2.40201640121214,3.46661458599575e-05
-2.39842594321332,3.47026262477444e-05
-2.39483548521449,3.47392018385469e-05
-2.39124502721567,3.47759215017001e-05
-2.38765456921685,3.48126248452969e-05
-2.38406411121803,3.48494556899471e-05
-2.38047365321921,3.4886228885341e-05
-2.37688319522038,3.49231686319972e-05
-2.37329273722156,3.49607145109522e-05
-2.36970227922274,3.49974955556426e-05
-2.36611182122392,3.50346618367313e-05
-2.36252136322509,3.507195518524e-05
-2.35893090522627,3.51093410402357e-05
-2.35534044722745,3.51467974957495e-05
-2.35174998922863,3.51843554294059e-05
-2.3481595312298,3.52219810626262e-05
-2.34456907323098,3.52597463922755e-05
-2.34097861523216,3.52975713935812e-05
-2.33738815723334,3.53358368323229e-05
-2.33379769923451,3.53802033729455e-05
-2.33020724123569,3.54098401943001e-05
-2.32661678323687,3.54485080513302e-05
-2.32302632523805,3.54868097382003e-05
-2.31943586723923,3.55251357918898e-05
-2.3158454092404,3.55634678357449e-05
-2.31225495124158,3.56019553439123e-05
-2.30866449324276,3.56404142619306e-05
-2.30507403524394,3.56790015570755e-05
-2.30148357724511,3.57176645308054e-05
-2.29789311924629,3.57561212130908e-05
-2.29430266124747,3.57939181659988e-05
-2.29071220324865,3.58359414707878e-05
-2.28712174524982,3.5873923135473e-05
-2.283531287251,3.59129906831113e-05
-2.27994082925218,3.59519018350567e-05
-2.27635037125336,3.59911196408766e-05
-2.27275991325454,3.60304398999483e-05
-2.26916945525571,3.60698756050813e-05
-2.26557899725689,3.61093911240177e-05
-2.26198853925807,3.61489737380451e-05
-2.25839808125925,3.61886950219112e-05
-2.25480762326042,3.6228486627714e-05
-2.2512171652616,3.6268310814023e-05
-2.24762670726278,3.63082984889504e-05
-2.24403624926396,3.6348344133553e-05
-2.24044579126513,3.63885077324398e-05
-2.23685533326631,3.64287264882302e-05
-2.23326487526749,3.64691351653702e-05
-2.22967441726867,3.65095476785646e-05
-2.22608395926984,3.65500605084819e-05
-2.22249350127102,3.65906885896816e-05
-2.2189030432722,3.66314483666674e-05
-2.21531258527338,3.66723489358862e-05
-2.21172212727456,3.67133110724802e-05
-2.20813166927573,3.67552668870958e-05
-2.20454121127691,3.67989070678562e-05
-2.20095075327809,3.68275116198862e-05
-2.19736029527927,3.68747375604211e-05
-2.19376983728044,3.69167479003966e-05
-2.19017937928162,3.69587203411029e-05
-2.1865889212828,3.70004035159255e-05
-2.18299846328398,3.70421411622334e-05
-2.17940800528515,3.7083835716421e-05
-2.17581754728633,3.71256564999148e-05
-2.17222708928751,3.71676322746418e-05
-2.16863663128869,3.72095921769557e-05
-2.16504617328986,3.72516884048704e-05
-2.16145571529104,3.729400434479e-05
-2.15786525729222,3.73361512078354e-05
-2.1542747992934,3.73785161592353e-05
-2.15068434129458,3.74209689616109e-05
-2.14709388329575,3.74635271801318e-05
-2.14350342529693,3.750620790686e-05
-2.13991296729811,3.75489516807411e-05
-2.13632250929929,3.75918461480255e-05
-2.13273205130046,3.76350263970664e-05
-2.12914159330164,3.76774676604629e-05
-2.12555113530282,3.77207512391241e-05
-2.121960677304,3.77641615933013e-05
-2.11837021930517,3.78073395415534e-05
-2.11477976130635,3.78508051820565e-05
-2.11118930330753,3.7894296021751e-05
-2.10759884530871,3.79379683412167e-05
-2.10400838730989,3.79816937568487e-05
-2.10041792931106,3.80255831959979e-05
-2.09682747131224,3.80694539955365e-05
-2.09323701331342,3.81135392136417e-05
-2.0896465553146,3.81576591429374e-05
-2.08605609731577,3.82018637341148e-05
-2.08246563931695,3.82462187406664e-05
-2.07887518131813,3.82906374009188e-05
-2.07528472331931,3.83352063249571e-05
-2.07169426532048,3.83798782992111e-05
-2.06810380732166,3.84246190998038e-05
-2.06451334932284,3.84694771823499e-05
-2.06092289132402,3.85144639643861e-05
-2.05733243332519,3.85595368706607e-05
-2.05374197532637,3.86047194305877e-05
-2.05015151732755,3.86499410680287e-05
-2.04656105932873,3.86953550702052e-05
-2.04297060132991,3.87408402770883e-05
-2.03938014333108,3.87866053749885e-05
-2.03578968533226,3.88321693909154e-05
-2.03219922733344,3.88780116421235e-05
-2.02860876933462,3.89238385534889e-05
-2.02501831133579,3.89699117253954e-05
-2.02142785333697,3.90160843927653e-05
-2.01783739533815,3.90623390328879e-05
-2.01424693733933,3.91086744233933e-05
-2.01065647934051,3.91551044417406e-05
-2.00706602134168,3.92017955338955e-05
-2.00347556334286,3.92484942239401e-05
-1.99988510534404,3.92934595817899e-05
-1.99629464734522,3.93421542994842e-05
-1.99270418934639,3.9389197082915e-05
-1.98911373134757,3.94363136662447e-05
-1.98552327334875,3.94835737103664e-05
-1.98193281534993,3.95309568267812e-05
-1.9783423573511,3.95784354107785e-05
-1.97475189935228,3.96260336338133e-05
-1.97116144135346,3.96737406765462e-05
-1.96757098335464,3.97215592276229e-05
-1.96398052535581,3.97695077160883e-05
-1.96039006735699,3.98177144637303e-05
-1.95679960935817,3.98656663839779e-05
-1.95320915135935,3.99139777089628e-05
-1.94961869336053,3.99624812188144e-05
-1.9460282353617,4.00109124918691e-05
-1.94243777736288,4.00595478151453e-05
-1.93884731936406,4.01083228764997e-05
-1.93525686136524,4.01572049076632e-05
-1.93166640336641,4.02061566030656e-05
-1.92807594536759,4.02554075533276e-05
-1.92448548736877,4.030452439931e-05
-1.92089502936995,4.03535053693688e-05
-1.91730457137112,4.040349634903e-05
-1.9137141133723,4.04530293357801e-05
-1.91012365537348,4.0502726034607e-05
-1.90653319737466,4.05525296953701e-05
-1.90294273937583,4.06024880809918e-05
-1.89935228137701,4.06525703420018e-05
-1.89576182337819,4.07028096290653e-05
-1.89217136537937,4.0753115109472e-05
-1.88858090738055,4.08035577772485e-05
-1.88499044938172,4.08541402903042e-05
-1.8813999913829,4.09048458643951e-05
-1.87780953338408,4.09556447211509e-05
-1.87421907538526,4.10065773923794e-05
-1.87062861738643,4.10575875865134e-05
-1.86703815938761,4.11089364954421e-05
-1.86344770138879,4.11602406458003e-05
-1.85985724338997,4.12116229719257e-05
-1.85626678539114,4.12632777519196e-05
-1.85267632739232,4.13149486008961e-05
-1.8490858693935,4.13668148773362e-05
-1.84549541139468,4.14187223753087e-05
-1.84190495339586,4.14708405079317e-05
-1.83831449539703,4.15228563069351e-05
-1.83472403739821,4.15753975751578e-05
-1.83113357939939,4.16279091739785e-05
-1.82754312140057,4.16804391868622e-05
-1.82395266340174,4.17332033375998e-05
-1.82036220540292,4.17860441602213e-05
-1.8167717474041,4.18390426514539e-05
-1.81318128940528,4.18921845631259e-05
-1.80959083140645,4.19454328745007e-05
-1.80600037340763,4.19987898179364e-05
-1.80240991540881,4.20523032015723e-05
-1.79881945740999,4.21059116830753e-05
-1.79522899941117,4.21597808516734e-05
-1.79163854141234,4.22136560987614e-05
-1.78804808341352,4.22676313256525e-05
-1.7844576254147,4.23218249708926e-05
-1.78086716741588,4.23760804972537e-05
-1.77727670941705,4.24304691343178e-05
-1.77368625141823,4.24850477409324e-05
-1.77009579341941,4.2539724050625e-05
-1.76650533542059,4.2594555729217e-05
-1.76291487742176,4.26493257096433e-05
-1.75932441942294,4.27042094009256e-05
-1.75573396142412,4.27602680037607e-05
-1.7521435034253,4.28150668876435e-05
-1.74855304542647,4.28700088122393e-05
-1.74496258742765,4.29259380711848e-05
-1.74137212942883,4.29814841550976e-05
-1.73778167143001,4.30372227471399e-05
-1.73419121343119,4.30929651488313e-05
-1.73060075543236,4.31488451159787e-05
-1.72701029743354,4.320479599549e-05
-1.72341983943472,4.32608616453011e-05
-1.7198293814359,4.33168715000109e-05
-1.71623892343707,4.33729637285744e-05
-1.71264846543825,4.34290167654641e-05
-1.70905800743943,4.34850349480256e-05
-1.70546754944061,4.35409128900675e-05
-1.70187709144178,4.35966368526858e-05
-1.69828663344296,4.36521227851912e-05
-1.69469617544414,4.37070302240312e-05
-1.69110571744532,4.37612234180282e-05
-1.6875152594465,4.38141900389494e-05
-1.68392480144767,4.38650705450364e-05
-1.68033434344885,4.39121611908524e-05
-1.67674388545003,4.39510091748051e-05
-1.67315342745121,4.39684833463454e-05
-1.66956296945238,4.38827759289725e-05
-1.66597251145356,4.53181481810918e-05
-1.66238205345474,4.44416637334279e-05
-1.65879159545592,4.44195629253553e-05
-1.65520113745709,4.44494634950626e-05
-1.65161067945827,4.44934852265642e-05
-1.64802022145945,4.45438071035843e-05
-1.64442976346063,4.45974833088416e-05
-1.6408393054618,4.46530890801575e-05
-1.63724884746298,4.47100567551696e-05
-1.63365838946416,4.47679448509672e-05
-1.63006793146534,4.48266024742417e-05
-1.62647747346652,4.48855637540854e-05
-1.62288701546769,4.49456489509515e-05
-1.61929655746887,4.50057133419802e-05
-1.61570609947005,4.50660904285047e-05
-1.61211564147123,4.51268830650483e-05
-1.6085251834724,4.51879442731843e-05
-1.60493472547358,4.52492931091632e-05
-1.60134426747476,4.53108529274398e-05
-1.59775380947594,4.53727055851132e-05
-1.59416335147711,4.543473570104e-05
-1.59057289347829,4.54970454308764e-05
-1.58698243547947,4.55594511178789e-05
-1.58339197748065,4.56223264349087e-05
-1.57980151948183,4.56852323238327e-05
-1.576211061483,4.57481711784167e-05
-1.57262060348418,4.5811649117635e-05
-1.56903014548536,4.58751810035873e-05
-1.56543968748654,4.59390078819005e-05
-1.56184922948771,4.60029155125249e-05
-1.55825877148889,4.60670194539867e-05
-1.55466831349007,4.6131410742603e-05
-1.55107785549125,4.61959124545442e-05
-1.54748739749242,4.62606261322273e-05
-1.5438969394936,4.63255541120614e-05
-1.54030648149478,4.63906545836111e-05
-1.53671602349596,4.64558498133863e-05
-1.53312556549713,4.65215565918907e-05
-1.52953510749831,4.65872000335905e-05
-1.52594464949949,4.66531489996591e-05
-1.52235419150067,4.67191955395244e-05
-1.51876373350185,4.67854815929295e-05
-1.51517327550302,4.68519655345524e-05
-1.5115828175042,4.69186523872899e-05
-1.50799235950538,4.6985524937528e-05
-1.50440190150656,4.7052599152389e-05
-1.50081144350773,4.71197528203921e-05
-1.49722098550891,4.71871804690448e-05
-1.49363052751009,4.72551777754145e-05
-1.49004006951127,4.73228528212719e-05
-1.48644961151244,4.73909121797708e-05
-1.48285915351362,4.74591277628612e-05
-1.4792686955148,4.7527607801909e-05
-1.47567823751598,4.75962575949691e-05
-1.47208777951716,4.76651394911269e-05
-1.46849732151833,4.77341727534425e-05
-1.46490686351951,4.7803128886078e-05
-1.46131640552069,4.78730238136947e-05
-1.45772594752187,4.79426709530292e-05
-1.45413548952304,4.80125404756626e-05
-1.45054503152422,4.80826219656464e-05
-1.4469545735254,4.81529252051948e-05
-1.44336411552658,4.82234378371962e-05
-1.43977365752775,4.8294164864422e-05
-1.43618319952893,4.83650673452938e-05
-1.43259274153011,4.84362138555274e-05
