t,thetadot
4950.58720540416,1.39999761021215
4950.79388390541,1.39999798579329
4951.00056240665,1.39999796549872
4951.2072409079,1.39999801546813
4951.41391940915,1.39999801564606
4951.62059791039,1.39999819235591
4951.82727641164,1.39999817949103
4952.08031449056,1.39999760983389
4952.33335256949,1.39999911684163
4952.53501350683,1.3999976226393
4952.73667444417,1.39999860626275
4952.93833538151,1.39999847542148
4953.13999631886,1.39999892740515
4953.3416572562,1.3999978770682
4953.54331819354,1.3999986058405
4953.74497913088,1.39999833652823
4953.95102973991,1.39999759588655
4954.15708034894,1.39999829945916
4954.36313095798,1.3999982210603
4954.56918156701,1.39999813009723
4954.77523217604,1.39999806159876
4954.98128278507,1.39999800641084
4955.1873333941,1.39999798027901
4955.44025866535,1.39999761512704
4955.6931839366,1.39999810714691
4955.89592864001,1.39999760994394
4956.09867334341,1.3999982282403
4956.30141804682,1.39999843954954
4956.50416275023,1.39999844780219
4956.70690745364,1.39999788679336
4956.90965215704,1.39999838727419
4957.11239686045,1.39999847413733
4957.31878310389,1.39999759265066
4957.52516934734,1.39999858679926
4957.73155559078,1.39999858480585
4957.93794183422,1.39999862838733
4958.14432807767,1.39999840746983
4958.35071432111,1.3999985709108
4958.55710056455,1.39999832437397
4958.81005013233,1.39999761289417
4959.06299970011,1.39999862867554
4959.26511164482,1.39999760685514
4959.46722358954,1.39999805152823
4959.66933553425,1.39999816508974
4959.87144747897,1.39999801537348
4960.07355942369,1.39999768614453
4960.2756713684,1.39999792519697
4960.47778331312,1.39999807643181
4960.68366178703,1.39999760633993
4960.88954026094,1.39999826131264
4961.09541873485,1.39999831708931
4961.30129720876,1.39999848560187
4961.50717568267,1.3999983691991
4961.71305415658,1.39999872477049
4961.91893263048,1.39999850335031
4962.17208490865,1.39999760205615
4962.42523718682,1.39999963707431
4962.62799086324,1.39999761978458
4962.83074453966,1.3999984436674
4963.03349821609,1.3999982932449
4963.23625189251,1.39999833523993
4963.43900556893,1.39999795903962
4963.64175924536,1.39999799361959
4963.84451292178,1.39999803365543
4964.05119142302,1.39999761021215
4964.25786992427,1.39999798579329
4964.46454842552,1.39999796549872
4964.67122692676,1.39999801546813
4964.87790542801,1.39999801564606
4965.08458392926,1.39999819235591
4965.2912624305,1.39999817949103
4965.54430050943,1.39999760983389
4965.79733858835,1.39999911684163
4965.9989995257,1.3999976226393
4966.20066046304,1.39999860626275
4966.40232140039,1.39999847542148
4966.60398233773,1.39999892740515
4966.80564327508,1.3999978770682
4967.00730421242,1.3999986058405
4967.20896514977,1.39999833652823
4967.4150157588,1.39999759588655
4967.62106636783,1.39999829945916
4967.82711697687,1.3999982210603
4968.0331675859,1.39999813009723
4968.23921819494,1.39999806159876
4968.44526880397,1.39999800641084
4968.65131941301,1.39999798027901
4968.90424468426,1.39999761512704
4969.15716995552,1.39999810714691
4969.35991465892,1.39999760994394
4969.56265936231,1.3999982282403
4969.76540406571,1.39999843954954
4969.96814876911,1.39999844780219
4970.1708934725,1.39999788679336
4970.3736381759,1.39999838727419
4970.57638287929,1.39999847413733
4970.78276912273,1.39999759265066
4970.98915536617,1.39999858679926
4971.19554160961,1.39999858480585
4971.40192785304,1.39999862838733
4971.60831409648,1.39999840746983
4971.81470033992,1.3999985709108
4972.02108658335,1.39999832437397
4972.27403615113,1.39999761289417
4972.52698571891,1.39999862867554
4972.72909766364,1.39999760685514
4972.93120960836,1.39999805152823
4973.13332155309,1.39999816508974
4973.33543349781,1.39999801537348
4973.53754544254,1.39999768614453
4973.73965738726,1.39999792519697
4973.94176933199,1.39999807643181
4974.1476478059,1.39999760633993
4974.35352627981,1.39999826131264
4974.55940475372,1.39999831708931
4974.76528322764,1.39999848560187
4974.97116170155,1.3999983691991
4975.17704017546,1.39999872477049
4975.38291864937,1.39999850335031
4975.63607092754,1.39999760205615
4975.8892232057,1.39999963707431
4976.09197688212,1.39999761978457
4976.29473055854,1.3999984436674
4976.49748423496,1.3999982932449
4976.70023791138,1.39999833523993
4976.9029915878,1.39999795903962
4977.10574526422,1.39999799361959
4977.30849894064,1.39999803365543
4977.51517744189,1.39999761021215
4977.72185594313,1.39999798579329
4977.92853444438,1.39999796549872
4978.13521294563,1.39999801546813
4978.34189144687,1.39999801564606
