freqs,specs
-2.99803242901665,5.70095493927957e-05
-2.99444197101782,5.83527156252082e-05
-2.990851513019,5.86831131699899e-05
-2.98726105502018,5.88572603520392e-05
-2.98367059702136,5.89782855474076e-05
-2.98008013902253,5.90749985192122e-05
-2.97648968102371,5.91585607122789e-05
-2.97289922302489,5.92342458322914e-05
-2.96930876502607,5.93048921274373e-05
-2.96571830702724,5.93721647231538e-05
-2.96212784902842,5.94373110375584e-05
-2.9585373910296,5.94941950332992e-05
-2.95494693303078,5.95602600571408e-05
-2.95135647503196,5.96211221202792e-05
-2.94776601703313,5.96809866117071e-05
-2.94417555903431,5.97402016921098e-05
-2.94058510103549,5.97989220276676e-05
-2.93699464303667,5.98572267034508e-05
-2.93340418503784,5.99152036025979e-05
-2.92981372703902,5.99729513546737e-05
-2.9262232690402,6.00304774853663e-05
-2.92263281104138,6.00878780958168e-05
-2.91904235304255,6.01450352169894e-05
-2.91545189504373,6.02024384786995e-05
-2.91186143704491,6.02595316114415e-05
-2.90827097904609,6.03166038285533e-05
-2.90468052104727,6.03736435828629e-05
-2.90109006304844,6.04306737877944e-05
-2.89749960504962,6.04876989355244e-05
-2.8939091470508,6.05447317909506e-05
-2.89031868905198,6.06017786944681e-05
-2.88672823105315,6.06588432622615e-05
-2.88313777305433,6.07159290445186e-05
-2.87954731505551,6.07729102229535e-05
-2.87595685705669,6.08310018702226e-05
-2.87236639905786,6.08878302908995e-05
-2.86877594105904,6.09450550873185e-05
-2.86518548306022,6.10024503126321e-05
-2.8615950250614,6.10598788512807e-05
-2.85800456706257,6.11173851874593e-05
-2.85441410906375,6.11749663162698e-05
-2.85082365106493,6.12326111461359e-05
-2.84723319306611,6.12903386697069e-05
-2.84364273506729,6.13481613677653e-05
-2.84005227706846,6.14060296708895e-05
-2.83646181906964,6.14634164303859e-05
-2.83287136107082,6.15221554869281e-05
-2.829280903072,6.15802829343377e-05
-2.82569044507317,6.1638521771895e-05
-2.82209998707435,6.16968500806668e-05
-2.81850952907553,6.17552707149153e-05
-2.81491907107671,6.18137865208873e-05
-2.81132861307788,6.1872391782398e-05
-2.80773815507906,6.19310992688337e-05
-2.80414769708024,6.19899030199484e-05
-2.80055723908142,6.20487820261161e-05
-2.7969667810826,6.21076943927829e-05
-2.79337632308377,6.21670474277909e-05
-2.78978586508495,6.22261692472382e-05
-2.78619540708613,6.22855410647068e-05
-2.78260494908731,6.23448803233191e-05
-2.77901449108848,6.24043884802789e-05
-2.77542403308966,6.24639841657958e-05
-2.77183357509084,6.25237040972229e-05
-2.76824311709202,6.25835417707727e-05
-2.76465265909319,6.26434781892858e-05
-2.76106220109437,6.27034912233404e-05
-2.75747174309555,6.27636339147771e-05
-2.75388128509673,6.28240177834673e-05
-2.7502908270979,6.28842788238523e-05
-2.74670036909908,6.29446735363286e-05
-2.74310991110026,6.3005407304092e-05
-2.73951945310144,6.30660831513452e-05
-2.73592899510262,6.31268757750533e-05
-2.73233853710379,6.31877967206556e-05
-2.72874807910497,6.32488321792752e-05
-2.72515762110615,6.33099841964978e-05
-2.72156716310733,6.33712488718599e-05
-2.7179767051085,6.34326214234672e-05
-2.71438624710968,6.34940774605168e-05
-2.71079578911086,6.35557651077231e-05
-2.70720533111204,6.36175144189783e-05
-2.70361487311321,6.36791467731427e-05
-2.70002441511439,6.3741216096737e-05
-2.69643395711557,6.38032960650823e-05
-2.69284349911675,6.38654985744183e-05
-2.68925304111792,6.39278142037452e-05
-2.6856625831191,6.39902365913091e-05
-2.68207212512028,6.40527903479502e-05
-2.67848166712146,6.41154617981886e-05
-2.67489120912264,6.41782524376509e-05
-2.67130075112381,6.42411531492305e-05
-2.66771029312499,6.43041819540238e-05
-2.66411983512617,6.43671805800897e-05
-2.66052937712735,6.44306479819322e-05
-2.65693891912852,6.44940465789681e-05
-2.6533484611297,6.45575234300172e-05
-2.64975800313088,6.46211789340355e-05
-2.64616754513206,6.46849512322773e-05
-2.64257708713324,6.47488375112259e-05
-2.63898662913441,6.48128596951536e-05
-2.63539617113559,6.48770051851121e-05
-2.63180571313677,6.49413015217128e-05
-2.62821525513795,6.50056668960274e-05
-2.62462479713912,6.50702380023811e-05
-2.6210343391403,6.51347209411127e-05
-2.61744388114148,6.51995407481125e-05
-2.61385342314266,6.52644461936723e-05
-2.61026296514383,6.53294724429314e-05
-2.60667250714501,6.53946173296973e-05
-2.60308204914619,6.54599033617717e-05
-2.59949159114737,6.55253071429944e-05
-2.59590113314854,6.55908449515953e-05
-2.59231067514972,6.56565099619439e-05
-2.5887202171509,6.5722277911948e-05
-2.58512975915208,6.57881961711484e-05
-2.58153930115326,6.58543846666139e-05
-2.57794884315443,6.59204423573975e-05
-2.57435838515561,6.59867359275239e-05
-2.57076792715679,6.60531748656835e-05
-2.56717746915797,6.61197329311353e-05
-2.56358701115914,6.61864169700947e-05
-2.55999655316032,6.62532266290307e-05
-2.5564060951615,6.63201880471959e-05
-2.55281563716268,6.63872590928502e-05
-2.54922517916385,6.64545257090055e-05
-2.54563472116503,6.65219268635932e-05
-2.54204426316621,6.65904742856871e-05
-2.53845380516739,6.66557617185322e-05
-2.53486334716857,6.67237483402124e-05
-2.53127288916974,6.67914135104246e-05
-2.52768243117092,6.68592057935482e-05
-2.5240919731721,6.69269524230147e-05
-2.52050151517328,6.69945994431223e-05
-2.51691105717445,6.70620712167802e-05
-2.51332059917563,6.71290746580575e-05
-2.50973014117681,6.7194947404564e-05
-2.50613968317799,6.72575307928394e-05
-2.50254922517916,6.73021384301249e-05
-2.49895876718034,6.75166614149745e-05
-2.49536830918152,6.75059461046708e-05
-2.4917778511827,6.75653700576682e-05
-2.48818739318387,6.7631156315057e-05
-2.48459693518505,6.76988958000259e-05
-2.48100647718623,6.77675948067726e-05
-2.47741601918741,6.78368517822568e-05
-2.47382556118859,6.79065282591274e-05
-2.47023510318976,6.79765088534162e-05
-2.46664464519094,6.80468119086072e-05
-2.46305418719212,6.81175091383069e-05
-2.4594637291933,6.81934744541049e-05
-2.45587327119447,6.82575616886842e-05
-2.45228281319565,6.83289508514035e-05
-2.44869235519683,6.8400258867008e-05
-2.44510189719801,6.84716466052129e-05
-2.44151143919918,6.8543167005469e-05
-2.43792098120036,6.86148802371112e-05
-2.43433052320154,6.86867217232861e-05
-2.43074006520272,6.87587344226643e-05
-2.4271496072039,6.8830946057278e-05
-2.42355914920507,6.89032218963393e-05
-2.41996869120625,6.89757150494505e-05
-2.41637823320743,6.90483204137421e-05
-2.41278777520861,6.91211313493549e-05
-2.40919731720978,6.91940993308962e-05
-2.40560685921096,6.9267211463489e-05
-2.40201640121214,6.93404879281045e-05
-2.39842594321332,6.9413930331105e-05
-2.39483548521449,6.9487529106523e-05
-2.39124502721567,6.95612832241441e-05
-2.38765456921685,6.96352073854574e-05
-2.38406411121803,6.97092930827054e-05
-2.38047365321921,6.97835673897492e-05
-2.37688319522038,6.98571635199949e-05
-2.37329273722156,6.99324032566132e-05
-2.36970227922274,7.00071325445336e-05
-2.36611182122392,7.00820790687043e-05
-2.36252136322509,7.01571252070043e-05
-2.35893090522627,7.02323502570457e-05
-2.35534044722745,7.03077294583935e-05
-2.35174998922863,7.03832889096715e-05
-2.3481595312298,7.04590127475807e-05
-2.34456907323098,7.05349019921735e-05
-2.34097861523216,7.0611024491655e-05
-2.33738815723334,7.06877443195823e-05
-2.33379769923451,7.07631238653637e-05
-2.33020724123569,7.0839867473679e-05
-2.32661678323687,7.09165428160525e-05
-2.32302632523805,7.09934922511367e-05
-2.31943586723923,7.10705349184953e-05
-2.3158454092404,7.1147794667672e-05
-2.31225495124158,7.12251826697711e-05
-2.30866449324276,7.1302751174584e-05
-2.30507403524394,7.13804809290481e-05
-2.30148357724511,7.14583945088626e-05
-2.29789311924629,7.15364554340915e-05
-2.29430266124747,7.16147956569015e-05
-2.29071220324865,7.16931773586922e-05
-2.28712174524982,7.17718158704846e-05
-2.283531287251,7.18505261384965e-05
-2.27994082925218,7.19294798782652e-05
-2.27635037125336,7.20086258137155e-05
-2.27275991325454,7.20879241103571e-05
-2.26916945525571,7.21674028773775e-05
-2.26557899725689,7.22470601647168e-05
-2.26198853925807,7.23269075627225e-05
-2.25839808125925,7.24069136423924e-05
-2.25480762326042,7.24870226444912e-05
-2.2512171652616,7.25675335543848e-05
-2.24762670726278,7.26481368801315e-05
-2.24403624926396,7.27286915913995e-05
-2.24044579126513,7.28096830657054e-05
-2.23685533326631,7.28908126965008e-05
-2.23326487526749,7.29720989004903e-05
-2.22967441726867,7.30535823509204e-05
-2.22608395926984,7.31352525659203e-05
-2.22249350127102,7.32171001933125e-05
-2.2189030432722,7.32991293476292e-05
-2.21531258527338,7.3381347528457e-05
-2.21172212727456,7.3463766688494e-05
