w1,w2,w3,w4,w5,w6,i
-1.81060628864836,-0.123320605728649,6643.81099367123,0.176369349038339,0.231758569205052,1.39951419116094,3
-1.78157596647225,-0.0706270100176638,6644.10186908852,0.101084569188355,0.271580327762666,1.39972592972636,3
-1.76920074135619,-0.011986721612797,6644.39279140257,0.0172936814818859,0.288613522796327,1.39996246756665,3
-1.77452368421585,0.0476782123670816,6644.68376335451,-0.0679782707801239,0.281419797400886,1.40020058097119,3
-1.79841598713103,0.105551616399588,6644.98708200003,-0.150714678619719,0.248792461737981,1.40043026139227,3
-1.83887397398117,0.153818589907271,6645.29044661792,-0.219745904847337,0.19345337942023,1.40062196063397,3
-1.89221449505834,0.188069178132789,6645.59384671405,-0.268758670469648,0.120432384676655,1.40075562672404,3
-1.95357517322061,0.205169567135223,6645.8972684644,-0.293258529447216,0.0363829973008381,1.40082000503313,3
-2.0173568540174,0.203551199745582,6646.20069605537,-0.290988354644105,-0.0510208089668391,1.40080936652816,3
-2.07773531423978,0.183356096514463,6646.50411320371,-0.262140817809768,-0.133788068954614,1.40072476664858,3
-2.12919489956062,0.146425101629314,6646.80750464079,-0.209344488738117,-0.204346978705003,1.40057406310437,3
-2.17132704048007,0.0876243085727218,6647.15670084684,-0.125261440895941,-0.262132136486977,1.40033699799782,3
-2.19035415436955,0.0182475078049748,6647.50583209976,-0.0260525240390541,-0.288249156187586,1.40005857825991,3
-2.18397965778517,-0.0533124578591126,6647.85489233524,0.0762637825330264,-0.279551847844162,1.39977346485171,3
-2.15298557601614,-0.118408079138701,6648.20388415674,0.169314823714437,-0.237119141875556,1.39951597236583,3
-2.10112953250532,-0.169189679904705,6648.55281845399,0.241879500698131,-0.166107872179623,1.39931682825173,3
-2.03468018485246,-0.199545540963966,6648.90171291161,0.285234939693054,-0.0751101713358822,1.39919921102362,3
-1.96165580061913,-0.205828783342763,6649.25058993198,0.294188145604956,0.0248937542647431,1.39917795551189,3
-1.89085873585605,-0.187291615482433,6649.59947407016,0.267687959919468,0.121859855491165,1.39925565560787,3
-1.83081863806998,-0.146174101472948,6649.94838914962,0.208940055426817,0.20412079434021,1.39942339279893,3
-1.7883577895154,-0.0865631583093154,6650.30198848916,0.123776308249728,0.262345380737111,1.39966089235002,3
-1.76961780225445,-0.0162357195713409,6650.65565467768,0.0232890079115708,0.288117766404743,1.39994692951993,3
-1.77692217937741,0.0561066972577275,6651.00939418663,-0.0801029072159556,0.278245137844389,1.40023584091485,3
-1.8093743169443,0.121509438953776,6651.36320401484,-0.173613634009288,0.233914342024602,1.40049562025402,3
-1.86296509789174,0.171870250337466,6651.71707221584,-0.245660157419988,0.160588139552657,1.40069307352507,3
-1.93106426923532,0.20094275414249,6652.07097976381,-0.287294709212338,0.0673286885516042,1.40080472205002,3
-1.99202844106559,0.206273548970419,6652.36213957512,-0.294970426167117,-0.0162089346755501,1.40082185747594,3
-2.05198361528699,0.194260972948831,6652.65329573497,-0.277831577838699,-0.098397440129182,1.40077009298608,3
-2.10589922095133,0.16590745061336,6652.94443428183,-0.237303960495833,-0.172330786301914,1.40065358017433,3
-2.14923953901177,0.123591582553165,6653.23554265395,-0.176791152240857,-0.231779994787828,1.4004817645552,3
-2.17834971078956,0.0708725328504491,6653.52661080038,-0.101391690565889,-0.27172636237428,1.40026941737518,3
-2.19077556208802,0.0121886483045463,6653.81763211813,-0.017463433913653,-0.288801681346299,1.40003472221999,3
-2.1854744194689,-0.0475205821955214,6654.10860397849,0.0679200457683831,-0.28157721116677,1.39979706218958,3
-2.16174927979586,-0.105155354160198,6654.41029154501,0.150318996917074,-0.249103884231419,1.39956775399046,3
-2.1216044411406,-0.153287427917364,6654.71193365511,0.219110922345681,-0.194134321034544,1.39937848969232,3
-2.06867182031403,-0.187571223093302,6655.01354060024,0.268093045069201,-0.121650866718123,1.39924423215977,3
-2.00773523480043,-0.204915286859326,6655.3151258283,0.292854510895736,-0.0382096448706576,1.39917815770817,3
-1.94429730553969,-0.203759378248028,6655.61670470015,0.291181169815184,0.0486579506095684,1.3991855371135,3
-1.8840827622955,-0.184212348396499,6655.91829324264,0.263237947253737,0.131119059668736,1.39926716260395,3
-1.83252304760735,-0.148040114222923,6656.21990660801,0.211552987523252,0.201745618858634,1.39941406595322,3
-1.78956835704662,-0.0894636521003655,6656.57060762182,0.127866339296185,0.260622416049009,1.39964920109384,3
-1.76979170172561,-0.0199849767821208,6656.92137412495,0.0285970837519936,0.287792789342205,1.39993158505768,3
-1.77560954379105,0.0519294055913712,6657.2722127843,-0.07417403426469,0.279936939343463,1.40021926277877,3
-1.80631944033787,0.117515491769885,6657.62312106917,-0.167935226838995,0.237982534438428,1.40047974369096,3
-1.85818537803847,0.168783037450294,6657.97408781068,-0.241264265800676,0.167019135842332,1.40068114132022,3
-1.92489285793407,0.199483506966563,6658.32509489755,-0.285211439672289,0.075675221836223,1.40079937174682,3
-1.99831499061753,0.205868552235686,6658.67611945717,-0.294393156176694,-0.0249231372976541,1.4008196908608,3
-2.06949950643965,0.187151696224011,6659.02713649693,-0.26766397030509,-0.122501810290471,1.4007399955626,3
-2.12976102578996,0.145611616614364,6659.37812190686,-0.208272620096713,-0.205140416563398,1.40057012269673,3
-2.17195897884923,0.0858587860585156,6659.73148930049,-0.122816432825832,-0.263033318632868,1.40032988751797,3
-2.1904098458687,0.0155015042719671,6660.08478999677,-0.0221891108720949,-0.288377845726911,1.40004743575891,3
-2.18283931257773,-0.0567542890691889,6660.4380180331,0.0811411382016321,-0.278054279996952,1.39976004647745,3
-2.15019523945538,-0.121974720425984,6660.79117645426,0.174393804915644,-0.233368486258815,1.39950195771667,3
-2.09652477159346,-0.172104489590567,6661.1442769168,0.246050838787494,-0.15987534083738,1.39930542344299,3
-2.0284681154432,-0.2009599912979,6661.4973381102,0.287287424328916,-0.0666752156951211,1.39919361711332,3
-1.96753955831272,-0.206161807307276,6661.78812207301,0.294720755808941,0.0167677700272978,1.39917329661487,3
