we1,we2,we3,we4,we5,we6,it
-9.04761977514835,-0.00488992889213868,6302.03486310121,0.0657102565073286,-0.367513148233379,1.39984052221561,5
-9.04729034872648,-0.00505370703579987,6308.31804840839,0.0661538450833099,-0.367357839577621,1.39983629113217,5
-9.04761977580131,-0.00488992887201609,6314.60123371557,0.0657102551391734,-0.367513148482908,1.39984052221597,5
-9.04729034893108,-0.0050537068158187,6320.88441902274,0.066153843498351,-0.367357839618873,1.39983629113663,5
-9.04761977554332,-0.0048899287658721,6327.16760432984,0.0657102535233561,-0.367513148263714,1.39984052221812,5
-9.04729034827541,-0.00505370695577406,6333.45078963702,0.066153842185685,-0.367357839485846,1.39983629113382,5
-9.04761977460832,-0.00488992890698395,6339.7339749442,0.0657102527897168,-0.367513148413115,1.39984052221523,5
-9.0472903472377,-0.00505370685620004,6346.01716025138,0.0661538420397707,-0.367357839673058,1.39983629113585,5
-9.04761977363693,-0.00488992875218881,6352.30034555864,0.0657102533324821,-0.367513148345475,1.3998405222184,5
-9.04729034649766,-0.00505370687980182,6358.58353086574,0.0661538429843774,-0.367357839463801,1.39983629113538,5
-9.0476197732452,-0.00488992891446214,6364.86671617292,0.0657102544893554,-0.36751314831836,1.3998405222151,5
-9.04729034648837,-0.00505370696751063,6371.14990148018,0.0661538444096886,-0.367357839649307,1.39983629113361,5
-9.04761977361628,-0.00488992877670449,6377.43308678728,0.0657102556876226,-0.367513148424967,1.39984052221788,5
-9.04729034715281,-0.0050537068554533,6383.71627209454,0.0661538452861078,-0.367357839519051,1.39983629113585,5
-9.04761977445326,-0.00488992888569294,6389.99945740172,0.0657102561892668,-0.367513148270022,1.39984052221573,5
-9.04729034801751,-0.00505370700303526,6396.2826427089,0.0661538451831569,-0.367357839579069,1.39983629113285,5
-9.04761977519997,-0.00488992884350978,6402.565828016,0.0657102555288577,-0.367513148446256,1.39984052221653,5
-9.04729034852436,-0.00505370684864667,6408.84901332326,0.0661538442663019,-0.367357839600134,1.39983629113597,5
-9.04761977539579,-0.00488992879067248,6415.13219863036,0.0657102544316835,-0.36751314828994,1.39984052221762,5
-9.04729034839639,-0.00505370694224486,6421.41538393754,0.0661538430789211,-0.367357839513821,1.39983629113407,5
-9.0476197749644,-0.00488992890481236,6427.6985692448,0.0657102536127968,-0.367513148399559,1.39984052221531,5
-9.04729034775847,-0.00505370688659584,6433.98175455198,0.0661538425899237,-0.367357839641321,1.39983629113524,5
-9.04761977423525,-0.00488992878091156,6440.26493985916,0.065710253450966,-0.367513148347131,1.39984052221782,5
