hi,it
-1.19303282485481,1
-1.20010381039476,1
-1.19303282486688,1
-1.2001038108564,1
-1.19303282473367,1
-1.20010381048061,1
-1.19303282496177,1
-1.20010381071989,1
-1.19303282468728,1
-1.20010381064685,1
-1.19303282495927,1
-1.20010381055286,1
-1.193032824735,1
-1.20010381078582,1
-1.19303282488521,1
-1.20010381047763,1
-1.19303282483162,1
-1.20010381080616,1
-1.19303282478521,1
-1.20010381050109,1
-1.1930328249095,1
-1.2001038107282,1
-1.19303282473172,1
-1.20010381061052,1
-1.19303282493148,1
-1.20010381060792,1
-1.19303282474352,1
-1.20010381071259,1
-1.19303282488399,1
-1.20010381052883,1
-1.19303282480782,1
-1.20010381075844,1
-1.19303282481792,1
-1.20010381052843,1
-1.19303282487056,1
-1.20010381072389,1
-1.19303282476763,1
-1.20010381060003,1
-1.19303282491016,1
-1.20010381065057,1
-1.19303282476457,1
-1.20010381067513,1
-1.19303282488436,1
-1.20010381057362,1
-1.19303282479884,1
-1.20010381072526,1
-1.19303282483836,1
-1.20010381055147,1
-1.1930328248447,1
-1.20010381071359,1
-1.19303282479673,1
-1.20010381058999,1
-1.19303282487611,1
-1.20010381065997,1
-1.19303282477964,1
-1.20010381064882,1
-1.19303282487408,1
-1.2001038106062,1
-1.1930328247969,1
-1.20010381069191,1
-1.19303282484694,1
-1.20010381058364,1
-1.19303282483265,1
-1.20010381070477,1
-1.19303282481663,1
-1.2001038105939,1
-1.19303282485682,1
-1.20010381066418,1
-1.19303282479274,1
-1.20010381062958,1
-1.19303282486253,1
-1.20010381062803,1
-1.19303282480181,1
-1.20010381067062,1
-1.19303282485056,1
-1.20010381059285,1
-1.19303282481778,1
-1.20010381068008,1
-1.19303282482645,1
-1.20010381059998,1
-1.19303282484644,1
-1.20010381067453,1
-1.19303282481168,1
-1.2001038106259,1
-1.1930328248535,1
-1.20010381063466,1
-1.19303282480356,1
-1.20010381064542,1
-1.19303282484585,1
-1.20010381061379,1
-1.19303282481866,1
-1.20010381066829,1
-1.19303282483201,1
-1.20010381060314,1
-1.19303282483261,1
-1.20010381066763,1
-1.19303282482146,1
-1.20010381062209,1
-1.19303282484745,1
-1.20010381064888,1
-1.19303282481533,1
-1.20010381064533,1
-1.19303282484848,1
-1.20010381062427,1
-1.19303282481764,1
-1.20010381066029,1
-1.19303282483619,1
-1.20010381061363,1
-1.1930328248287,1
-1.20010381066288,1
-1.19303282482361,1
-1.20010381061752,1
